# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.015015015    0.001454447    0.001454447    0.001454447
    0.030030030    0.002909672    0.002909672    0.002909672
    0.045045045    0.004366453    0.004366453    0.004366453
    0.060060060    0.005825575    0.005825575    0.005825575
    0.075075075    0.007287827    0.007287827    0.007287827
    0.090090090    0.008754008    0.008754008    0.008754008
    0.105105105    0.010224926    0.010224926    0.010224926
    0.120120120    0.011701403    0.011701403    0.011701403
    0.135135135    0.013184277    0.013184277    0.013184277
    0.150150150    0.014674403    0.014674403    0.014674403
    0.165165165    0.016172657    0.016172657    0.016172657
    0.180180180    0.017679938    0.017679938    0.017679938
    0.195195195    0.019197172    0.019197172    0.019197172
    0.210210210    0.020725314    0.020725314    0.020725314
    0.225225225    0.022265352    0.022265352    0.022265352
    0.240240240    0.023818312    0.023818312    0.023818312
    0.255255255    0.025385259    0.025385259    0.025385259
    0.270270270    0.026967306    0.026967306    0.026967306
    0.285285285    0.028565614    0.028565614    0.028565614
    0.300300300    0.030181400    0.030181400    0.030181400
    0.315315315    0.031815945    0.031815945    0.031815945
    0.330330330    0.033470596    0.033470596    0.033470596
    0.345345345    0.035146774    0.035146774    0.035146774
    0.360360360    0.036845988    0.036845988    0.036845988
    0.375375375    0.038569836    0.038569836    0.038569836
    0.390390390    0.040320021    0.040320021    0.040320021
    0.405405405    0.042098359    0.042098359    0.042098359
    0.420420420    0.043906796    0.043906796    0.043906796
    0.435435435    0.045747419    0.045747419    0.045747419
    0.450450450    0.047622474    0.047622474    0.047622474
    0.465465465    0.049534386    0.049534386    0.049534386
    0.480480480    0.051485781    0.051485781    0.051485781
    0.495495495    0.053479513    0.053479513    0.053479513
    0.510510511    0.055518689    0.055518689    0.055518689
    0.525525526    0.057606708    0.057606708    0.057606708
    0.540540541    0.059747300    0.059747300    0.059747300
    0.555555556    0.061944570    0.061944570    0.061944570
    0.570570571    0.064203058    0.064203058    0.064203058
    0.585585586    0.066527800    0.066527800    0.066527800
    0.600600601    0.068924409    0.068924409    0.068924409
    0.615615616    0.071399167    0.071399167    0.071399167
    0.630630631    0.073959135    0.073959135    0.073959135
    0.645645646    0.076612294    0.076612294    0.076612294
    0.660660661    0.079367704    0.079367704    0.079367704
    0.675675676    0.082235712    0.082235712    0.082235712
    0.690690691    0.085228201    0.085228201    0.085228201
    0.705705706    0.088358904    0.088358904    0.088358904
    0.720720721    0.091643794    0.091643794    0.091643794
    0.735735736    0.095101589    0.095101589    0.095101589
    0.750750751    0.098754386    0.098754386    0.098754386
    0.765765766    0.102628488    0.102628488    0.102628488
    0.780780781    0.106755487    0.106755487    0.106755487
    0.795795796    0.111173694    0.111173694    0.111173694
    0.810810811    0.115930059    0.115930059    0.115930059
    0.825825826    0.121082775    0.121082775    0.121082775
    0.840840841    0.126704884    0.126704884    0.126704884
    0.855855856    0.132889314    0.132889314    0.132889314
    0.870870871    0.139756070    0.139756070    0.139756070
    0.885885886    0.147462676    0.147462676    0.147462676
    0.900900901    0.156219607    0.156219607    0.156219607
    0.915915916    0.166313580    0.166313580    0.166313580
    0.930930931    0.178143364    0.178143364    0.178143364
    0.945945946    0.192275794    0.192275794    0.192275794
    0.960960961    0.209534438    0.209534438    0.209534438
    0.975975976    0.231139735    0.231139735    0.231139735
    0.990990991    0.258922980    0.258922980    0.258922980
    1.006006006    0.295613312    0.295613312    0.295613312
    1.021021021    0.345047057    0.345047057    0.345047057
    1.036036036    0.411536961    0.411536961    0.411536961
    1.051051051    0.495921532    0.495921532    0.495921532
    1.066066066    0.584757051    0.584757051    0.584757051
    1.081081081    0.643295635    0.643295635    0.643295635
    1.096096096    0.648211811    0.648211811    0.648211811
    1.111111111    0.625061587    0.625061587    0.625061587
    1.126126126    0.611782483    0.611782483    0.611782483
    1.141141141    0.619755108    0.619755108    0.619755108
    1.156156156    0.640181777    0.640181777    0.640181777
    1.171171171    0.670486970    0.670486970    0.670486970
    1.186186186    0.725952752    0.725952752    0.725952752
    1.201201201    0.822435718    0.822435717    0.822435717
    1.216216216    0.957297347    0.957297347    0.957297347
    1.231231231    1.090330620    1.090330620    1.090330619
    1.246246246    1.150116010    1.150116010    1.150116010
    1.261261261    1.111419501    1.111419501    1.111419501
    1.276276276    1.034534318    1.034534318    1.034534318
    1.291291291    0.987779634    0.987779634    0.987779634
    1.306306306    0.992551345    0.992551345    0.992551344
    1.321321321    1.026800330    1.026800330    1.026800329
    1.336336336    1.050187390    1.050187390    1.050187390
    1.351351351    1.052260608    1.052260608    1.052260608
    1.366366366    1.050306351    1.050306351    1.050306351
    1.381381381    1.044101186    1.044101186    1.044101186
    1.396396396    1.034841163    1.034841163    1.034841163
    1.411411411    1.045286451    1.045286451    1.045286451
    1.426426426    1.082297483    1.082297483    1.082297483
    1.441441441    1.121132682    1.121132682    1.121132682
    1.456456456    1.148864104    1.148864104    1.148864104
    1.471471471    1.195798700    1.195798700    1.195798700
    1.486486486    1.293124505    1.293124505    1.293124505
    1.501501502    1.430845191    1.430845191    1.430845191
    1.516516517    1.554931122    1.554931122    1.554931122
    1.531531532    1.604841408    1.604841408    1.604841408
    1.546546547    1.573889086    1.573889086    1.573889086
    1.561561562    1.528031115    1.528031115    1.528031115
    1.576576577    1.533711439    1.533711439    1.533711439
    1.591591592    1.592491213    1.592491213    1.592491213
    1.606606607    1.649093519    1.649093519    1.649093519
    1.621621622    1.656129909    1.656129909    1.656129909
    1.636636637    1.610781672    1.610781672    1.610781672
    1.651651652    1.525718526    1.525718526    1.525718526
    1.666666667    1.435388310    1.435388310    1.435388310
    1.681681682    1.374844916    1.374844916    1.374844916
    1.696696697    1.338661454    1.338661454    1.338661454
    1.711711712    1.308339077    1.308339077    1.308339076
    1.726726727    1.297231222    1.297231222    1.297231222
    1.741741742    1.335091692    1.335091692    1.335091691
    1.756756757    1.437091810    1.437091810    1.437091810
    1.771771772    1.596419637    1.596419637    1.596419637
    1.786786787    1.790460751    1.790460750    1.790460750
    1.801801802    2.003077612    2.003077611    2.003077611
    1.816816817    2.213882900    2.213882900    2.213882900
    1.831831832    2.369621305    2.369621305    2.369621305
    1.846846847    2.425552576    2.425552576    2.425552576
    1.861861862    2.396792120    2.396792120    2.396792120
    1.876876877    2.333881884    2.333881884    2.333881884
    1.891891892    2.271836411    2.271836411    2.271836410
    1.906906907    2.226294354    2.226294354    2.226294354
    1.921921922    2.192838982    2.192838981    2.192838981
    1.936936937    2.161941527    2.161941527    2.161941527
    1.951951952    2.126536145    2.126536145    2.126536145
    1.966966967    2.101975515    2.101975514    2.101975514
    1.981981982    2.116348674    2.116348674    2.116348674
    1.996996997    2.163497126    2.163497126    2.163497126
    2.012012012    2.198828409    2.198828409    2.198828409
    2.027027027    2.208630752    2.208630752    2.208630752
    2.042042042    2.233407384    2.233407384    2.233407384
    2.057057057    2.328642496    2.328642496    2.328642496
    2.072072072    2.534842923    2.534842923    2.534842923
    2.087087087    2.857062900    2.857062900    2.857062900
    2.102102102    3.239461451    3.239461451    3.239461451
    2.117117117    3.555405190    3.555405190    3.555405190
    2.132132132    3.706919057    3.706919057    3.706919057
    2.147147147    3.722648998    3.722648998    3.722648998
    2.162162162    3.692202541    3.692202541    3.692202541
    2.177177177    3.677388513    3.677388513    3.677388513
    2.192192192    3.682336712    3.682336712    3.682336712
    2.207207207    3.692522181    3.692522180    3.692522181
    2.222222222    3.727165749    3.727165749    3.727165749
    2.237237237    3.829188788    3.829188788    3.829188788
    2.252252252    4.028721842    4.028721842    4.028721842
    2.267267267    4.345226450    4.345226450    4.345226450
    2.282282282    4.792014605    4.792014605    4.792014605
    2.297297297    5.349927903    5.349927903    5.349927903
    2.312312312    5.963837215    5.963837215    5.963837215
    2.327327327    6.605121009    6.605121009    6.605121009
    2.342342342    7.299591201    7.299591201    7.299591201
    2.357357357    8.075591454    8.075591454    8.075591454
    2.372372372    8.955205100    8.955205100    8.955205100
    2.387387387    9.932154865    9.932154864    9.932154864
    2.402402402   10.898860354   10.898860354   10.898860354
    2.417417417   11.701515938   11.701515937   11.701515937
    2.432432432   12.275556300   12.275556300   12.275556300
    2.447447447   12.667620445   12.667620445   12.667620445
    2.462462462   12.940071185   12.940071185   12.940071185
    2.477477477   13.092835773   13.092835773   13.092835773
    2.492492492   13.115968670   13.115968670   13.115968670
    2.507507508   13.045205824   13.045205824   13.045205824
    2.522522523   12.960540081   12.960540081   12.960540081
    2.537537538   12.955433826   12.955433826   12.955433826
    2.552552553   13.093832164   13.093832164   13.093832164
    2.567567568   13.369531556   13.369531556   13.369531555
    2.582582583   13.667728220   13.667728220   13.667728220
    2.597597598   13.852592141   13.852592141   13.852592141
    2.612612613   13.882007230   13.882007230   13.882007229
    2.627627628   13.736512079   13.736512079   13.736512079
    2.642642643   13.351709363   13.351709363   13.351709363
    2.657657658   12.767689823   12.767689823   12.767689823
    2.672672673   12.186138900   12.186138900   12.186138900
    2.687687688   11.782970519   11.782970519   11.782970519
