# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    14.839789595   14.839789595   14.839789595
    0.000000000   11.563370691   11.563370691   11.563370691
    0.015015015   11.563588635   11.563588634   11.563588634
    0.030030030   11.564242581   11.564242581   11.564242581
    0.045045045   11.565332878   11.565332877   11.565332877
    0.060060060   11.566860103   11.566860103   11.566860103
    0.075075075   11.568825070   11.568825070   11.568825070
    0.090090090   11.571228829   11.571228828   11.571228828
    0.105105105   11.574072666   11.574072665   11.574072665
    0.120120120   11.577358111   11.577358111   11.577358111
    0.135135135   11.581086942   11.581086941   11.581086941
    0.150150150   11.585261184   11.585261184   11.585261184
    0.165165165   11.589883124   11.589883123   11.589883123
    0.180180180   11.594955307   11.594955307   11.594955307
    0.195195195   11.600480552   11.600480552   11.600480552
    0.210210210   11.606461955   11.606461955   11.606461955
    0.225225225   11.612902901   11.612902901   11.612902901
    0.240240240   11.619807071   11.619807071   11.619807071
    0.255255255   11.627178457   11.627178457   11.627178457
    0.270270270   11.635021371   11.635021371   11.635021371
    0.285285285   11.643340462   11.643340462   11.643340462
    0.300300300   11.652140729   11.652140728   11.652140728
    0.315315315   11.661427538   11.661427538   11.661427538
    0.330330330   11.671206643   11.671206643   11.671206643
    0.345345345   11.681484205   11.681484205   11.681484205
    0.360360360   11.692266813   11.692266813   11.692266813
    0.375375375   11.703561514   11.703561514   11.703561514
    0.390390390   11.715375836   11.715375836   11.715375836
    0.405405405   11.727717823   11.727717823   11.727717823
    0.420420420   11.740596066   11.740596066   11.740596066
    0.435435435   11.754019745   11.754019745   11.754019745
    0.450450450   11.767998669   11.767998669   11.767998669
    0.465465465   11.782543324   11.782543324   11.782543324
    0.480480480   11.797664929   11.797664928   11.797664928
    0.495495495   11.813375491   11.813375490   11.813375490
    0.510510511   11.829687877   11.829687877   11.829687877
    0.525525526   11.846615889   11.846615889   11.846615889
    0.540540541   11.864174347   11.864174347   11.864174347
    0.555555556   11.882379190   11.882379190   11.882379190
    0.570570571   11.901247584   11.901247584   11.901247584
    0.585585586   11.920798051   11.920798051   11.920798051
    0.600600601   11.941050612   11.941050612   11.941050612
    0.615615616   11.962026954   11.962026954   11.962026954
    0.630630631   11.983750624   11.983750624   11.983750624
    0.645645646   12.006247252   12.006247252   12.006247252
    0.660660661   12.029544810   12.029544810   12.029544810
    0.675675676   12.053673919   12.053673919   12.053673919
    0.690690691   12.078668206   12.078668206   12.078668206
    0.705705706   12.104564727   12.104564726   12.104564726
    0.720720721   12.131404469   12.131404469   12.131404469
    0.735735736   12.159232956   12.159232955   12.159232955
    0.750750751   12.188100961   12.188100961   12.188100961
    0.765765766   12.218065383   12.218065383   12.218065383
    0.780780781   12.249190296   12.249190296   12.249190296
    0.795795796   12.281548236   12.281548236   12.281548236
    0.810810811   12.315221762   12.315221762   12.315221762
    0.825825826   12.350305382   12.350305382   12.350305382
    0.840840841   12.386907895   12.386907895   12.386907895
    0.855855856   12.425155246   12.425155246   12.425155246
    0.870870871   12.465193954   12.465193954   12.465193954
    0.885885886   12.507195095   12.507195095   12.507195095
    0.900900901   12.551358652   12.551358652   12.551358652
    0.915915916   12.597917531   12.597917531   12.597917531
    0.930930931   12.647139388   12.647139388   12.647139388
    0.945945946   12.699321628   12.699321628   12.699321628
    0.960960961   12.754768351   12.754768351   12.754768351
    0.975975976   12.813722225   12.813722224   12.813722224
    0.990990991   12.876186569   12.876186568   12.876186569
    1.006006006   12.941485777   12.941485776   12.941485776
    1.021021021   13.007235761   13.007235761   13.007235761
    1.036036036   13.067206085   13.067206085   13.067206085
    1.051051051   13.108347358   13.108347358   13.108347358
    1.066066066   13.112893335   13.112893335   13.112893335
    1.081081081   13.080050950   13.080050950   13.080050950
    1.096096096   13.048733538   13.048733538   13.048733538
    1.111111111   13.058053320   13.058053319   13.058053319
    1.126126126   13.104464466   13.104464466   13.104464466
    1.141141141   13.164739104   13.164739104   13.164739104
    1.156156156   13.227820227   13.227820227   13.227820227
    1.171171171   13.300386562   13.300386562   13.300386562
    1.186186186   13.383902585   13.383902584   13.383902584
    1.201201201   13.459166329   13.459166329   13.459166329
    1.216216216   13.490343920   13.490343920   13.490343920
    1.231231231   13.443173334   13.443173334   13.443173334
    1.246246246   13.334173062   13.334173062   13.334173062
    1.261261261   13.246626047   13.246626047   13.246626047
    1.276276276   13.240480605   13.240480605   13.240480605
    1.291291291   13.298688317   13.298688317   13.298688317
    1.306306306   13.370737720   13.370737720   13.370737720
    1.321321321   13.416558779   13.416558779   13.416558779
    1.336336336   13.435515113   13.435515113   13.435515113
    1.351351351   13.458171767   13.458171767   13.458171767
    1.366366366   13.493431870   13.493431870   13.493431870
    1.381381381   13.536083952   13.536083952   13.536083952
    1.396396396   13.598918990   13.598918990   13.598918990
    1.411411411   13.682291401   13.682291401   13.682291401
    1.426426426   13.760336780   13.760336780   13.760336780
    1.441441441   13.821320638   13.821320638   13.821320638
    1.456456456   13.891191221   13.891191221   13.891191221
    1.471471471   13.987074786   13.987074786   13.987074786
    1.486486486   14.080323188   14.080323188   14.080323188
    1.501501502   14.121646216   14.121646216   14.121646216
    1.516516517   14.085979032   14.085979032   14.085979032
    1.531531532   14.006451247   14.006451247   14.006451247
    1.546546547   13.959924005   13.959924004   13.959924004
    1.561561562   13.991466797   13.991466797   13.991466797
    1.576576577   14.066016899   14.066016899   14.066016899
    1.591591592   14.115027220   14.115027219   14.115027219
    1.606606607   14.106458259   14.106458258   14.106458258
    1.621621622   14.069997411   14.069997410   14.069997410
    1.636636637   14.046002330   14.046002330   14.046002330
    1.651651652   14.063461229   14.063461229   14.063461229
    1.666666667   14.141644175   14.141644174   14.141644174
    1.681681682   14.260358510   14.260358510   14.260358510
    1.696696697   14.389947651   14.389947650   14.389947650
    1.711711712   14.536210447   14.536210447   14.536210447
    1.726726727   14.718467984   14.718467984   14.718467984
    1.741741742   14.929198972   14.929198972   14.929198972
    1.756756757   15.139200789   15.139200789   15.139200789
    1.771771772   15.315998640   15.315998640   15.315998640
