# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000   11.516646799   11.516646799   11.516646799
    0.015015015   11.515432200   11.515432200   11.515432200
    0.030030030   11.513330644   11.513330644   11.513330644
    0.045045045   11.510789911   11.510789911   11.510789911
    0.060060060   11.507816730   11.507816730   11.507816730
    0.075075075   11.504412687   11.504412687   11.504412687
    0.090090090   11.500579568   11.500579568   11.500579568
    0.105105105   11.496319373   11.496319373   11.496319373
    0.120120120   11.491634310   11.491634310   11.491634310
    0.135135135   11.486526787   11.486526787   11.486526787
    0.150150150   11.480999414   11.480999414   11.480999414
    0.165165165   11.475054988   11.475054988   11.475054988
    0.180180180   11.468696490   11.468696490   11.468696490
    0.195195195   11.461927081   11.461927081   11.461927081
    0.210210210   11.454750090   11.454750090   11.454750090
    0.225225225   11.447169007   11.447169007   11.447169007
    0.240240240   11.439187480   11.439187480   11.439187480
    0.255255255   11.430809303   11.430809303   11.430809303
    0.270270270   11.422038410   11.422038410   11.422038410
    0.285285285   11.412878866   11.412878866   11.412878866
    0.300300300   11.403334860   11.403334860   11.403334860
    0.315315315   11.393410697   11.393410697   11.393410697
    0.330330330   11.383110792   11.383110792   11.383110792
    0.345345345   11.372439658   11.372439658   11.372439658
    0.360360360   11.361401902   11.361401902   11.361401902
    0.375375375   11.350002217   11.350002217   11.350002217
    0.390390390   11.338245372   11.338245372   11.338245372
    0.405405405   11.326136209   11.326136209   11.326136209
    0.420420420   11.313679634   11.313679634   11.313679634
    0.435435435   11.300880608   11.300880608   11.300880608
    0.450450450   11.287744144   11.287744144   11.287744144
    0.465465465   11.274275299   11.274275299   11.274275299
    0.480480480   11.260479168   11.260479167   11.260479168
    0.495495495   11.246360877   11.246360877   11.246360877
    0.510510511   11.231925581   11.231925581   11.231925581
    0.525525526   11.217178455   11.217178455   11.217178455
    0.540540541   11.202124688   11.202124688   11.202124688
    0.555555556   11.186769483   11.186769483   11.186769483
    0.570570571   11.171118047   11.171118047   11.171118047
    0.585585586   11.155175592   11.155175592   11.155175592
    0.600600601   11.138947325   11.138947325   11.138947325
    0.615615616   11.122438449   11.122438449   11.122438449
    0.630630631   11.105654156   11.105654156   11.105654156
    0.645645646   11.088599624   11.088599624   11.088599624
    0.660660661   11.071280017   11.071280017   11.071280017
    0.675675676   11.053700477   11.053700477   11.053700477
    0.690690691   11.035866125   11.035866125   11.035866125
    0.705705706   11.017782057   11.017782057   11.017782057
    0.720720721   10.999453341   10.999453341   10.999453341
    0.735735736   10.980885014   10.980885014   10.980885014
    0.750750751   10.962082084   10.962082083   10.962082083
    0.765765766   10.943049520   10.943049520   10.943049520
    0.780780781   10.923792261   10.923792261   10.923792261
    0.795795796   10.904315205   10.904315205   10.904315205
    0.810810811   10.884623212   10.884623212   10.884623212
    0.825825826   10.864721100   10.864721100   10.864721100
    0.840840841   10.844613648   10.844613648   10.844613648
    0.855855856   10.824305590   10.824305590   10.824305590
    0.870870871   10.803801618   10.803801618   10.803801618
    0.885885886   10.783106376   10.783106376   10.783106376
    0.900900901   10.762224464   10.762224464   10.762224464
    0.915915916   10.741160437   10.741160437   10.741160437
    0.930930931   10.719918800   10.719918800   10.719918800
    0.945945946   10.698504012   10.698504012   10.698504012
    0.960960961   10.676920482   10.676920482   10.676920482
    0.975975976   10.655172572   10.655172571   10.655172571
    0.990990991   10.633264592   10.633264592   10.633264592
    1.006006006   10.611200804   10.611200804   10.611200804
    1.021021021   10.588985422   10.588985422   10.588985422
    1.036036036   10.566622605   10.566622605   10.566622605
    1.051051051   10.544116467   10.544116467   10.544116467
    1.066066066   10.521471067   10.521471067   10.521471067
    1.081081081   10.498690415   10.498690415   10.498690415
    1.096096096   10.475778471   10.475778471   10.475778471
    1.111111111   10.452739144   10.452739144   10.452739144
    1.126126126   10.429576292   10.429576292   10.429576292
    1.141141141   10.406293722   10.406293722   10.406293722
    1.156156156   10.382895190   10.382895190   10.382895190
    1.171171171   10.359384402   10.359384402   10.359384402
    1.186186186   10.335765015   10.335765015   10.335765015
    1.201201201   10.312040633   10.312040633   10.312040633
    1.216216216   10.288214811   10.288214811   10.288214811
    1.231231231   10.264291056   10.264291056   10.264291056
    1.246246246   10.240272822   10.240272822   10.240272822
    1.261261261   10.216163516   10.216163516   10.216163516
    1.276276276   10.191966495   10.191966495   10.191966495
    1.291291291   10.167685065   10.167685065   10.167685065
    1.306306306   10.143322488   10.143322488   10.143322488
    1.321321321   10.118881972   10.118881972   10.118881972
    1.336336336   10.094366681   10.094366681   10.094366681
    1.351351351   10.069779730   10.069779730   10.069779730
    1.366366366   10.045124185   10.045124185   10.045124185
    1.381381381   10.020403067   10.020403067   10.020403067
    1.396396396    9.995619348    9.995619348    9.995619348
    1.411411411    9.970775956    9.970775956    9.970775956
    1.426426426    9.945875771    9.945875771    9.945875771
    1.441441441    9.920921628    9.920921628    9.920921628
    1.456456456    9.895916316    9.895916316    9.895916316
    1.471471471    9.870862579    9.870862579    9.870862579
    1.486486486    9.845763118    9.845763118    9.845763118
    1.501501502    9.820620588    9.820620588    9.820620588
    1.516516517    9.795437600    9.795437600    9.795437600
    1.531531532    9.770216723    9.770216723    9.770216723
    1.546546547    9.744960481    9.744960481    9.744960481
    1.561561562    9.719671358    9.719671358    9.719671358
    1.576576577    9.694351794    9.694351794    9.694351794
    1.591591592    9.669004188    9.669004188    9.669004188
    1.606606607    9.643630896    9.643630896    9.643630896
    1.621621622    9.618234234    9.618234234    9.618234234
    1.636636637    9.592816479    9.592816479    9.592816479
    1.651651652    9.567379866    9.567379866    9.567379866
    1.666666667    9.541926591    9.541926591    9.541926591
    1.681681682    9.516458811    9.516458811    9.516458811
    1.696696697    9.490978643    9.490978643    9.490978643
    1.711711712    9.465488167    9.465488167    9.465488167
    1.726726727    9.439989425    9.439989425    9.439989425
    1.741741742    9.414484420    9.414484420    9.414484420
    1.756756757    9.388975119    9.388975119    9.388975119
    1.771771772    9.363463454    9.363463454    9.363463454
    1.786786787    9.337951317    9.337951317    9.337951317
    1.801801802    9.312440567    9.312440567    9.312440567
    1.816816817    9.286933028    9.286933028    9.286933028
    1.831831832    9.261430486    9.261430486    9.261430486
    1.846846847    9.235934697    9.235934697    9.235934697
    1.861861862    9.210447378    9.210447378    9.210447378
    1.876876877    9.184970217    9.184970217    9.184970217
    1.891891892    9.159504866    9.159504866    9.159504866
    1.906906907    9.134052945    9.134052945    9.134052945
    1.921921922    9.108616042    9.108616042    9.108616042
    1.936936937    9.083195711    9.083195711    9.083195711
    1.951951952    9.057793479    9.057793479    9.057793479
    1.966966967    9.032410837    9.032410837    9.032410837
    1.981981982    9.007049249    9.007049249    9.007049249
    1.996996997    8.981710146    8.981710146    8.981710146
    2.012012012    8.956394931    8.956394931    8.956394931
    2.027027027    8.931104978    8.931104978    8.931104978
    2.042042042    8.905841631    8.905841631    8.905841631
    2.057057057    8.880606204    8.880606204    8.880606204
    2.072072072    8.855399986    8.855399986    8.855399986
    2.087087087    8.830224235    8.830224235    8.830224235
    2.102102102    8.805080185    8.805080185    8.805080185
    2.117117117    8.779969040    8.779969040    8.779969040
    2.132132132    8.754891979    8.754891979    8.754891979
    2.147147147    8.729850154    8.729850154    8.729850154
    2.162162162    8.704844692    8.704844692    8.704844692
    2.177177177    8.679876695    8.679876695    8.679876695
    2.192192192    8.654947237    8.654947237    8.654947237
    2.207207207    8.630057371    8.630057371    8.630057371
    2.222222222    8.605208124    8.605208124    8.605208124
    2.237237237    8.580400499    8.580400499    8.580400499
    2.252252252    8.555635475    8.555635475    8.555635475
    2.267267267    8.530914010    8.530914010    8.530914010
    2.282282282    8.506237035    8.506237035    8.506237035
    2.297297297    8.481605464    8.481605464    8.481605464
    2.312312312    8.457020184    8.457020184    8.457020184
    2.327327327    8.432482063    8.432482063    8.432482063
