# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.015015015    0.003631751    0.003631751    0.003631751
    0.030030030    0.007269777    0.007269777    0.007269777
    0.045045045    0.010920417    0.010920417    0.010920417
    0.060060060    0.014590134    0.014590134    0.014590134
    0.075075075    0.018285581    0.018285581    0.018285581
    0.090090090    0.022013677    0.022013677    0.022013677
    0.105105105    0.025781681    0.025781681    0.025781681
    0.120120120    0.029597278    0.029597278    0.029597278
    0.135135135    0.033468683    0.033468683    0.033468683
    0.150150150    0.037404747    0.037404747    0.037404747
    0.165165165    0.041415096    0.041415096    0.041415096
    0.180180180    0.045510282    0.045510282    0.045510282
    0.195195195    0.049701971    0.049701971    0.049701971
    0.210210210    0.054003165    0.054003165    0.054003165
    0.225225225    0.058428476    0.058428476    0.058428476
    0.240240240    0.062994462    0.062994462    0.062994462
    0.255255255    0.067720037    0.067720037    0.067720037
    0.270270270    0.072626991    0.072626991    0.072626991
    0.285285285    0.077740647    0.077740647    0.077740647
    0.300300300    0.083090697    0.083090697    0.083090697
    0.315315315    0.088712275    0.088712275    0.088712275
    0.330330330    0.094647369    0.094647369    0.094647369
    0.345345345    0.100946668    0.100946668    0.100946668
    0.360360360    0.107672034    0.107672034    0.107672034
    0.375375375    0.114899856    0.114899856    0.114899856
    0.390390390    0.122725629    0.122725629    0.122725629
    0.405405405    0.131270354    0.131270354    0.131270354
    0.420420420    0.140689579    0.140689579    0.140689579
    0.435435435    0.151186420    0.151186420    0.151186420
    0.450450450    0.163030653    0.163030653    0.163030653
    0.465465465    0.176587216    0.176587216    0.176587216
    0.480480480    0.192359629    0.192359629    0.192359629
    0.495495495    0.211057328    0.211057328    0.211057328
    0.510510511    0.233701829    0.233701829    0.233701829
    0.525525526    0.261795660    0.261795660    0.261795660
    0.540540541    0.297589524    0.297589524    0.297589524
    0.555555556    0.344485796    0.344485796    0.344485796
    0.570570571    0.407553841    0.407553841    0.407553841
    0.585585586    0.493776833    0.493776833    0.493776833
    0.600600601    0.610271725    0.610271725    0.610271725
    0.615615616    0.755199918    0.755199918    0.755199918
    0.630630631    0.895929260    0.895929260    0.895929260
    0.645645646    0.963038493    0.963038493    0.963038493
    0.660660661    0.923314813    0.923314813    0.923314813
    0.675675676    0.832845222    0.832845222    0.832845222
    0.690690691    0.758684133    0.758684133    0.758684133
    0.705705706    0.726552481    0.726552481    0.726552481
    0.720720721    0.734684919    0.734684919    0.734684919
    0.735735736    0.768546009    0.768546009    0.768546009
    0.750750751    0.814023664    0.814023664    0.814023664
    0.765765766    0.878165958    0.878165958    0.878165958
    0.780780781    0.984555652    0.984555652    0.984555652
    0.795795796    1.147137794    1.147137794    1.147137794
    0.810810811    1.344906156    1.344906156    1.344906156
    0.825825826    1.499829802    1.499829802    1.499829802
    0.840840841    1.525058454    1.525058454    1.525058454
    0.855855856    1.438306038    1.438306038    1.438306038
    0.870870871    1.341343702    1.341343702    1.341343702
    0.885885886    1.302770557    1.302770557    1.302770557
    0.900900901    1.321084841    1.321084841    1.321084841
    0.915915916    1.345411112    1.345411112    1.345411112
    0.930930931    1.335908349    1.335908349    1.335908349
    0.945945946    1.312131784    1.312131784    1.312131784
    0.960960961    1.296362663    1.296362663    1.296362663
    0.975975976    1.276214623    1.276214623    1.276214623
    0.990990991    1.252745006    1.252745006    1.252745006
    1.006006006    1.246483784    1.246483784    1.246483784
    1.021021021    1.256762584    1.256762584    1.256762584
    1.036036036    1.278547478    1.278547478    1.278547478
    1.051051051    1.334711311    1.334711311    1.334711311
    1.066066066    1.453300365    1.453300365    1.453300365
    1.081081081    1.639312329    1.639312329    1.639312329
    1.096096096    1.862943102    1.862943102    1.862943102
    1.111111111    2.047475151    2.047475151    2.047475151
    1.126126126    2.113026742    2.113026742    2.113026742
    1.141141141    2.088464106    2.088464106    2.088464106
    1.156156156    2.076143041    2.076143041    2.076143041
    1.171171171    2.118067306    2.118067306    2.118067306
    1.186186186    2.182341319    2.182341319    2.182341319
    1.201201201    2.204651074    2.204651074    2.204651074
    1.216216216    2.137064193    2.137064193    2.137064193
    1.231231231    2.010084993    2.010084993    2.010084993
    1.246246246    1.880708764    1.880708764    1.880708764
    1.261261261    1.772463122    1.772463122    1.772463122
    1.276276276    1.707459859    1.707459859    1.707459859
    1.291291291    1.713209775    1.713209775    1.713209775
    1.306306306    1.803708056    1.803708056    1.803708056
    1.321321321    1.976483435    1.976483435    1.976483435
    1.336336336    2.210469402    2.210469402    2.210469402
    1.351351351    2.476691889    2.476691889    2.476691889
    1.366366366    2.757062976    2.757062976    2.757062976
    1.381381381    3.019908823    3.019908823    3.019908823
    1.396396396    3.201138260    3.201138260    3.201138260
    1.411411411    3.273953647    3.273953647    3.273953647
    1.426426426    3.292826175    3.292826175    3.292826175
    1.441441441    3.304369094    3.304369094    3.304369094
    1.456456456    3.291835320    3.291835320    3.291835320
    1.471471471    3.249023768    3.249023768    3.249023768
    1.486486486    3.200848446    3.200848446    3.200848446
    1.501501502    3.175288337    3.175288337    3.175288337
    1.516516517    3.210652872    3.210652872    3.210652872
    1.531531532    3.338613189    3.338613189    3.338613189
    1.546546547    3.572647119    3.572647119    3.572647119
    1.561561562    3.925170147    3.925170147    3.925170147
    1.576576577    4.393396425    4.393396425    4.393396425
    1.591591592    4.893343331    4.893343331    4.893343331
    1.606606607    5.281020956    5.281020956    5.281020956
    1.621621622    5.497695834    5.497695834    5.497695834
    1.636636637    5.600101019    5.600101019    5.600101019
    1.651651652    5.711872372    5.711872372    5.711872372
    1.666666667    5.972990662    5.972990663    5.972990662
    1.681681682    6.442363419    6.442363419    6.442363419
    1.696696697    7.073152461    7.073152461    7.073152461
    1.711711712    7.815706076    7.815706076    7.815706076
    1.726726727    8.701237753    8.701237753    8.701237753
    1.741741742    9.755143435    9.755143435    9.755143435
    1.756756757   10.921052796   10.921052796   10.921052796
    1.771771772   12.085604877   12.085604877   12.085604877
    1.786786787   13.106211034   13.106211034   13.106211034
    1.801801802   13.852339442   13.852339443   13.852339443
    1.816816817   14.355819926   14.355819926   14.355819926
    1.831831832   14.758831765   14.758831765   14.758831766
    1.846846847   15.122706128   15.122706128   15.122706128
    1.861861862   15.400732505   15.400732505   15.400732505
    1.876876877   15.485059637   15.485059637   15.485059637
    1.891891892   15.326030330   15.326030330   15.326030330
    1.906906907   14.985876979   14.985876979   14.985876979
    1.921921922   14.625042098   14.625042098   14.625042098
    1.936936937   14.451929333   14.451929333   14.451929333
    1.951951952   14.578057694   14.578057694   14.578057694
    1.966966967   14.932432796   14.932432796   14.932432796
    1.981981982   15.351964723   15.351964723   15.351964723
    1.996996997   15.647620245   15.647620245   15.647620245
    2.012012012   15.648231908   15.648231908   15.648231908
    2.027027027   15.322676822   15.322676822   15.322676822
    2.042042042   14.776392851   14.776392851   14.776392851
    2.057057057   14.184952064   14.184952064   14.184952064
    2.072072072   13.711618332   13.711618332   13.711618332
    2.087087087   13.399537733   13.399537733   13.399537733
    2.102102102   13.206225222   13.206225222   13.206225222
    2.117117117   13.092631669   13.092631668   13.092631669
    2.132132132   13.063272158   13.063272158   13.063272158
    2.147147147   13.152098794   13.152098794   13.152098794
    2.162162162   13.339276923   13.339276923   13.339276924
    2.177177177   13.569294655   13.569294655   13.569294655
    2.192192192   13.773131301   13.773131301   13.773131301
    2.207207207   13.847902371   13.847902370   13.847902371
    2.222222222   13.750652167   13.750652167   13.750652167
    2.237237237   13.513010176   13.513010176   13.513010176
    2.252252252   13.139684667   13.139684667   13.139684667
    2.267267267   12.663137065   12.663137065   12.663137065
    2.282282282   12.210250551   12.210250551   12.210250551
    2.297297297   11.892607124   11.892607124   11.892607124
    2.312312312   11.717246668   11.717246668   11.717246668
    2.327327327   11.649811045   11.649811045   11.649811045
    2.342342342   11.642459437   11.642459437   11.642459437
    2.357357357   11.631289262   11.631289262   11.631289262
    2.372372372   11.586812952   11.586812952   11.586812952
    2.387387387   11.518592762   11.518592762   11.518592762
    2.402402402   11.490044047   11.490044047   11.490044047
    2.417417417   11.575997593   11.575997593   11.575997593
    2.432432432   11.766408553   11.766408552   11.766408553
    2.447447447   11.992953714   11.992953714   11.992953714
    2.462462462   12.161320953   12.161320953   12.161320953
    2.477477477   12.165208901   12.165208901   12.165208901
    2.492492492   11.965763397   11.965763397   11.965763397
    2.507507508   11.649255064   11.649255064   11.649255064
    2.522522523   11.345014682   11.345014682   11.345014682
    2.537537538   11.117872401   11.117872401   11.117872401
    2.552552553   10.969118853   10.969118853   10.969118853
    2.567567568   10.864842851   10.864842851   10.864842851
    2.582582583   10.757228602   10.757228602   10.757228602
    2.597597598   10.633144477   10.633144477   10.633144477
    2.612612613   10.518520691   10.518520691   10.518520691
    2.627627628   10.455102346   10.455102346   10.455102346
    2.642642643   10.471738590   10.471738590   10.471738590
    2.657657658   10.570140723   10.570140723   10.570140723
    2.672672673   10.741242821   10.741242821   10.741242821
    2.687687688   10.973259268   10.973259268   10.973259268
    2.702702703   11.227820013   11.227820013   11.227820013
    2.717717718   11.454546982   11.454546982   11.454546982
    2.732732733   11.618736390   11.618736390   11.618736390
    2.747747748   11.678987273   11.678987273   11.678987273
    2.762762763   11.611910294   11.611910294   11.611910294
    2.777777778   11.464377388   11.464377389   11.464377389
    2.792792793   11.330372491   11.330372491   11.330372491
    2.807807808   11.284456844   11.284456844   11.284456844
    2.822822823   11.329795874   11.329795874   11.329795874
    2.837837838   11.434436332   11.434436332   11.434436332
    2.852852853   11.587081082   11.587081083   11.587081083
    2.867867868   11.779742767   11.779742767   11.779742767
    2.882882883   11.998509680   11.998509680   11.998509680
    2.897897898   12.243926456   12.243926456   12.243926456
    2.912912913   12.521578382   12.521578382   12.521578382
    2.927927928   12.847846284   12.847846284   12.847846284
