# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    13.056118797   13.056118797   13.056118797
    0.000000000   13.660849992   13.660849993   13.660849997
    0.015015015   13.661391719   13.661391719   13.661391723
    0.030030030   13.663017804   13.663017805   13.663017808
    0.045045045   13.665730977   13.665730978   13.665730982
    0.060060060   13.669535814   13.669535814   13.669535818
    0.075075075   13.674438780   13.674438780   13.674438784
    0.090090090   13.680448293   13.680448293   13.680448297
    0.105105105   13.687574804   13.687574805   13.687574809
    0.120120120   13.695830902   13.695830902   13.695830906
    0.135135135   13.705231438   13.705231438   13.705231442
    0.150150150   13.715793685   13.715793685   13.715793689
    0.165165165   13.727537523   13.727537524   13.727537528
    0.180180180   13.740485664   13.740485664   13.740485668
    0.195195195   13.754663915   13.754663915   13.754663919
    0.210210210   13.770101497   13.770101497   13.770101501
    0.225225225   13.786831424   13.786831425   13.786831429
    0.240240240   13.804890950   13.804890950   13.804890954
    0.255255255   13.824322103   13.824322103   13.824322107
    0.270270270   13.845172331   13.845172331   13.845172335
    0.285285285   13.867495271   13.867495271   13.867495275
    0.300300300   13.891351680   13.891351680   13.891351684
    0.315315315   13.916810562   13.916810562   13.916810566
    0.330330330   13.943950538   13.943950538   13.943950542
    0.345345345   13.972861526   13.972861526   13.972861530
    0.360360360   14.003646787   14.003646787   14.003646791
    0.375375375   14.036425455   14.036425455   14.036425459
    0.390390390   14.071335635   14.071335635   14.071335639
    0.405405405   14.108538209   14.108538209   14.108538213
    0.420420420   14.148221460   14.148221460   14.148221464
    0.435435435   14.190606583   14.190606584   14.190606588
    0.450450450   14.235953999   14.235954000   14.235954003
    0.465465465   14.284569931   14.284569931   14.284569935
    0.480480480   14.336811695   14.336811695   14.336811699
    0.495495495   14.393087634   14.393087634   14.393087638
    0.510510511   14.453841773   14.453841773   14.453841777
    0.525525526   14.519499288   14.519499289   14.519499292
    0.540540541   14.590315494   14.590315494   14.590315498
    0.555555556   14.665991409   14.665991409   14.665991413
    0.570570571   14.744737021   14.744737022   14.744737025
    0.585585586   14.821110795   14.821110795   14.821110799
    0.600600601   14.881693000   14.881693000   14.881693004
    0.615615616   14.899900684   14.899900684   14.899900688
    0.630630631   14.843909513   14.843909513   14.843909517
    0.645645646   14.723399986   14.723399986   14.723399990
    0.660660661   14.620436992   14.620436992   14.620436996
    0.675675676   14.601667297   14.601667298   14.601667301
    0.690690691   14.658205470   14.658205470   14.658205474
    0.705705706   14.752991790   14.752991791   14.752991794
    0.720720721   14.856364181   14.856364181   14.856364185
    0.735735736   14.952911255   14.952911256   14.952911259
    0.750750751   15.046893647   15.046893648   15.046893651
    0.765765766   15.151068826   15.151068826   15.151068830
    0.780780781   15.258224852   15.258224852   15.258224856
    0.795795796   15.333537595   15.333537595   15.333537599
    0.810810811   15.325073809   15.325073810   15.325073813
    0.825825826   15.205478385   15.205478385   15.205478389
    0.840840841   15.040653656   15.040653657   15.040653661
    0.855855856   14.948878360   14.948878360   14.948878364
    0.870870871   14.967405521   14.967405522   14.967405526
    0.885885886   15.043909783   15.043909783   15.043909787
    0.900900901   15.109932289   15.109932289   15.109932293
    0.915915916   15.135557305   15.135557305   15.135557309
    0.930930931   15.153320392   15.153320392   15.153320396
    0.945945946   15.198236973   15.198236973   15.198236977
    0.960960961   15.258008354   15.258008354   15.258008358
    0.975975976   15.324714619   15.324714619   15.324714623
    0.990990991   15.416343784   15.416343784   15.416343788
    1.006006006   15.531386526   15.531386527   15.531386531
    1.021021021   15.655858504   15.655858505   15.655858508
    1.036036036   15.798750300   15.798750300   15.798750304
    1.051051051   15.968519976   15.968519976   15.968519980
    1.066066066   16.142304464   16.142304464   16.142304468
    1.081081081   16.275768537   16.275768537   16.275768541
    1.096096096   16.320218742   16.320218743   16.320218747
    1.111111111   16.254869338   16.254869338   16.254869342
    1.126126126   16.147215521   16.147215521   16.147215525
    1.141141141   16.108354593   16.108354593   16.108354597
    1.156156156   16.151828066   16.151828066   16.151828070
    1.171171171   16.207713281   16.207713282   16.207713286
    1.186186186   16.218954375   16.218954375   16.218954379
    1.201201201   16.177309745   16.177309745   16.177309749
    1.216216216   16.141069623   16.141069623   16.141069627
    1.231231231   16.180658899   16.180658899   16.180658903
    1.246246246   16.303085941   16.303085941   16.303085945
    1.261261261   16.494284253   16.494284253   16.494284257
    1.276276276   16.750054924   16.750054924   16.750054928
    1.291291291   17.051167220   17.051167220   17.051167224
    1.306306306   17.364782649   17.364782650   17.364782654
    1.321321321   17.654733273   17.654733273   17.654733277
    1.336336336   17.890334089   17.890334089   17.890334093
    1.351351351   18.060188761   18.060188762   18.060188766
    1.366366366   18.158917262   18.158917262   18.158917266
    1.381381381   18.169318083   18.169318083   18.169318087
    1.396396396   18.108356934   18.108356935   18.108356938
    1.411411411   18.055249568   18.055249569   18.055249572
    1.426426426   18.066459956   18.066459957   18.066459961
    1.441441441   18.119124863   18.119124863   18.119124867
    1.456456456   18.195922818   18.195922818   18.195922822
    1.471471471   18.325847490   18.325847490   18.325847494
    1.486486486   18.529019904   18.529019904   18.529019908
    1.501501502   18.813499901   18.813499901   18.813499905
    1.516516517   19.174939726   19.174939727   19.174939731
    1.531531532   19.584862380   19.584862380   19.584862384
    1.546546547   20.008869349   20.008869350   20.008869353
    1.561561562   20.409768948   20.409768949   20.409768952
    1.576576577   20.717018225   20.717018226   20.717018229
    1.591591592   20.853792505   20.853792506   20.853792510
    1.606606607   20.851396680   20.851396680   20.851396684
    1.621621622   20.851331270   20.851331270   20.851331274
    1.636636637   20.981383510   20.981383510   20.981383514
    1.651651652   21.305057919   21.305057919   21.305057923
    1.666666667   21.781220414   21.781220414   21.781220418
    1.681681682   22.286357434   22.286357435   22.286357439
    1.696696697   22.725900425   22.725900426   22.725900429
    1.711711712   23.099986645   23.099986645   23.099986649
    1.726726727   23.408682386   23.408682386   23.408682390
    1.741741742   23.570132947   23.570132948   23.570132952
    1.756756757   23.484244367   23.484244368   23.484244372
    1.771771772   23.098810339   23.098810339   23.098810343
    1.786786787   22.423961925   22.423961926   22.423961930
    1.801801802   21.585921797   21.585921797   21.585921801
    1.816816817   20.772800903   20.772800903   20.772800907
    1.831831832   20.028176055   20.028176056   20.028176059
    1.846846847   19.276918186   19.276918186   19.276918190
    1.861861862   18.448930857   18.448930857   18.448930861
    1.876876877   17.567351763   17.567351763   17.567351767
    1.891891892   16.761145665   16.761145666   16.761145669
    1.906906907   16.173192414   16.173192414   16.173192418
    1.921921922   15.887619364   15.887619364   15.887619368
    1.936936937   15.850554250   15.850554250   15.850554254
    1.951951952   15.855130381   15.855130382   15.855130385
    1.966966967   15.690606949   15.690606949   15.690606953
    1.981981982   15.254584444   15.254584445   15.254584448
    1.996996997   14.542838262   14.542838262   14.542838266
    2.012012012   13.684102283   13.684102283   13.684102287
    2.027027027   12.892578964   12.892578964   12.892578968
    2.042042042   12.334556170   12.334556170   12.334556174
    2.057057057   12.074291569   12.074291569   12.074291573
    2.072072072   12.041302650   12.041302650   12.041302654
    2.087087087   12.100213764   12.100213764   12.100213768
    2.102102102   12.174921968   12.174921968   12.174921972
    2.117117117   12.252977425   12.252977426   12.252977430
    2.132132132   12.344505529   12.344505530   12.344505534
    2.147147147   12.412693059   12.412693059   12.412693063
    2.162162162   12.385655729   12.385655729   12.385655733
    2.177177177   12.225114971   12.225114971   12.225114975
    2.192192192   11.906118314   11.906118314   11.906118318
    2.207207207   11.457656851   11.457656851   11.457656855
    2.222222222   10.984747903   10.984747903   10.984747907
    2.237237237   10.552957453   10.552957453   10.552957457
    2.252252252   10.201378176   10.201378177   10.201378181
    2.267267267   10.018024390   10.018024390   10.018024394
    2.282282282   10.046824261   10.046824261   10.046824265
    2.297297297   10.208761172   10.208761172   10.208761176
    2.312312312   10.398745047   10.398745047   10.398745051
    2.327327327   10.558714815   10.558714816   10.558714819
    2.342342342   10.650979546   10.650979546   10.650979550
    2.357357357   10.681850940   10.681850940   10.681850944
    2.372372372   10.697461020   10.697461021   10.697461024
    2.387387387   10.748992588   10.748992589   10.748992592
    2.402402402   10.868878082   10.868878082   10.868878086
    2.417417417   11.001783850   11.001783850   11.001783854
    2.432432432   11.050520868   11.050520868   11.050520872
    2.447447447   10.957501595   10.957501595   10.957501599
    2.462462462   10.707377354   10.707377355   10.707377358
    2.477477477   10.356417719   10.356417719   10.356417723
    2.492492492   10.042557012   10.042557012   10.042557016
    2.507507508    9.885987236    9.885987236    9.885987240
    2.522522523    9.891188403    9.891188403    9.891188407
    2.537537538    9.987132087    9.987132087    9.987132091
    2.552552553   10.107842229   10.107842229   10.107842233
    2.567567568   10.211295173   10.211295173   10.211295177
    2.582582583   10.302554786   10.302554786   10.302554790
    2.597597598   10.420942077   10.420942078   10.420942081
    2.612612613   10.596852659   10.596852659   10.596852663
    2.627627628   10.828893917   10.828893917   10.828893921
    2.642642643   11.086556510   11.086556510   11.086556514
    2.657657658   11.332355311   11.332355312   11.332355316
    2.672672673   11.540929715   11.540929715   11.540929719
    2.687687688   11.681728374   11.681728375   11.681728379
    2.702702703   11.725793523   11.725793524   11.725793527
    2.717717718   11.677306851   11.677306852   11.677306856
    2.732732733   11.555925375   11.555925375   11.555925379
    2.747747748   11.392193869   11.392193869   11.392193873
    2.762762763   11.261577628   11.261577628   11.261577632
    2.777777778   11.246179270   11.246179271   11.246179274
    2.792792793   11.368569584   11.368569585   11.368569588
    2.807807808   11.576839074   11.576839074   11.576839078
    2.822822823   11.798864619   11.798864620   11.798864623
    2.837837838   12.008545578   12.008545579   12.008545582
    2.852852853   12.203932770   12.203932770   12.203932774
    2.867867868   12.374547957   12.374547958   12.374547962
    2.882882883   12.521491635   12.521491636   12.521491639
    2.897897898   12.650555145   12.650555145   12.650555149
    2.912912913   12.761456669   12.761456670   12.761456673
    2.927927928   12.843329624   12.843329625   12.843329628
    2.942942943   12.853777396   12.853777396   12.853777400
    2.957957958   12.753131775   12.753131775   12.753131779
    2.972972973   12.550785159   12.550785159   12.550785163
    2.987987988   12.311433577   12.311433577   12.311433581
    3.003003003   12.099755939   12.099755939   12.099755943
