# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000   13.637086410   13.637086410   13.637086410
    0.015015015   13.634057294   13.634057294   13.634057294
    0.030030030   13.628823630   13.628823630   13.628823630
    0.045045045   13.622509402   13.622509402   13.622509402
    0.060060060   13.615138581   13.615138581   13.615138581
    0.075075075   13.606723319   13.606723319   13.606723319
    0.090090090   13.597277162   13.597277162   13.597277162
    0.105105105   13.586814990   13.586814990   13.586814990
    0.120120120   13.575352895   13.575352895   13.575352895
    0.135135135   13.562908047   13.562908047   13.562908047
    0.150150150   13.549498572   13.549498572   13.549498572
    0.165165165   13.535143422   13.535143422   13.535143422
    0.180180180   13.519862250   13.519862250   13.519862250
    0.195195195   13.503675285   13.503675285   13.503675285
    0.210210210   13.486603219   13.486603219   13.486603219
    0.225225225   13.468667099   13.468667099   13.468667099
    0.240240240   13.449888218   13.449888218   13.449888218
    0.255255255   13.430288026   13.430288026   13.430288026
    0.270270270   13.409888044   13.409888044   13.409888044
    0.285285285   13.388709783   13.388709783   13.388709783
    0.300300300   13.366774677   13.366774677   13.366774677
    0.315315315   13.344104022   13.344104022   13.344104022
    0.330330330   13.320718923   13.320718923   13.320718924
    0.345345345   13.296640251   13.296640251   13.296640251
    0.360360360   13.271888598   13.271888598   13.271888598
    0.375375375   13.246484253   13.246484253   13.246484253
    0.390390390   13.220447172   13.220447172   13.220447172
    0.405405405   13.193796958   13.193796958   13.193796958
    0.420420420   13.166552846   13.166552846   13.166552846
    0.435435435   13.138733690   13.138733690   13.138733690
    0.450450450   13.110357960   13.110357960   13.110357960
    0.465465465   13.081443730   13.081443730   13.081443730
    0.480480480   13.052008681   13.052008681   13.052008681
    0.495495495   13.022070103   13.022070103   13.022070103
    0.510510511   12.991644892   12.991644892   12.991644892
    0.525525526   12.960749558   12.960749558   12.960749558
    0.540540541   12.929400231   12.929400231   12.929400231
    0.555555556   12.897612664   12.897612664   12.897612664
    0.570570571   12.865402242   12.865402242   12.865402242
    0.585585586   12.832783990   12.832783990   12.832783990
    0.600600601   12.799772579   12.799772579   12.799772579
    0.615615616   12.766382338   12.766382338   12.766382338
    0.630630631   12.732627259   12.732627259   12.732627259
    0.645645646   12.698521005   12.698521005   12.698521005
    0.660660661   12.664076925   12.664076925   12.664076925
    0.675675676   12.629308051   12.629308051   12.629308051
    0.690690691   12.594227118   12.594227118   12.594227118
    0.705705706   12.558846564   12.558846564   12.558846564
    0.720720721   12.523178539   12.523178539   12.523178539
    0.735735736   12.487234917   12.487234917   12.487234917
    0.750750751   12.451027297   12.451027297   12.451027297
    0.765765766   12.414567014   12.414567014   12.414567014
    0.780780781   12.377865143   12.377865143   12.377865143
    0.795795796   12.340932507   12.340932507   12.340932507
    0.810810811   12.303779685   12.303779685   12.303779685
    0.825825826   12.266417011   12.266417011   12.266417011
    0.840840841   12.228854588   12.228854588   12.228854588
    0.855855856   12.191102288   12.191102288   12.191102288
    0.870870871   12.153169756   12.153169756   12.153169756
    0.885885886   12.115066422   12.115066422   12.115066422
    0.900900901   12.076801496   12.076801496   12.076801496
    0.915915916   12.038383981   12.038383981   12.038383981
    0.930930931   11.999822672   11.999822672   11.999822672
    0.945945946   11.961126161   11.961126161   11.961126161
    0.960960961   11.922302843   11.922302843   11.922302843
    0.975975976   11.883360918   11.883360918   11.883360918
    0.990990991   11.844308396   11.844308396   11.844308396
    1.006006006   11.805153098   11.805153098   11.805153098
    1.021021021   11.765902663   11.765902663   11.765902663
    1.036036036   11.726564548   11.726564548   11.726564548
    1.051051051   11.687146035   11.687146035   11.687146035
    1.066066066   11.647654231   11.647654231   11.647654231
    1.081081081   11.608096071   11.608096071   11.608096071
    1.096096096   11.568478323   11.568478324   11.568478324
    1.111111111   11.528807592   11.528807592   11.528807592
    1.126126126   11.489090318   11.489090318   11.489090318
    1.141141141   11.449332784   11.449332784   11.449332784
    1.156156156   11.409541115   11.409541115   11.409541115
    1.171171171   11.369721285   11.369721285   11.369721285
    1.186186186   11.329879115   11.329879115   11.329879115
    1.201201201   11.290020279   11.290020279   11.290020279
    1.216216216   11.250150305   11.250150305   11.250150305
    1.231231231   11.210274578   11.210274578   11.210274578
    1.246246246   11.170398343   11.170398343   11.170398343
    1.261261261   11.130526707   11.130526707   11.130526707
    1.276276276   11.090664642   11.090664642   11.090664642
    1.291291291   11.050816987   11.050816987   11.050816987
    1.306306306   11.010988451   11.010988451   11.010988451
    1.321321321   10.971183614   10.971183614   10.971183614
    1.336336336   10.931406932   10.931406932   10.931406932
    1.351351351   10.891662737   10.891662737   10.891662737
    1.366366366   10.851955239   10.851955239   10.851955239
    1.381381381   10.812288531   10.812288531   10.812288531
    1.396396396   10.772666591   10.772666591   10.772666591
    1.411411411   10.733093280   10.733093280   10.733093280
    1.426426426   10.693572349   10.693572349   10.693572349
    1.441441441   10.654107439   10.654107439   10.654107439
    1.456456456   10.614702085   10.614702085   10.614702085
    1.471471471   10.575359715   10.575359715   10.575359715
    1.486486486   10.536083655   10.536083655   10.536083655
    1.501501502   10.496877130   10.496877130   10.496877130
    1.516516517   10.457743267   10.457743267   10.457743267
    1.531531532   10.418685095   10.418685095   10.418685095
    1.546546547   10.379705548   10.379705548   10.379705548
    1.561561562   10.340807470   10.340807470   10.340807470
    1.576576577   10.301993611   10.301993611   10.301993611
    1.591591592   10.263266634   10.263266634   10.263266634
    1.606606607   10.224629115   10.224629115   10.224629115
    1.621621622   10.186083545   10.186083545   10.186083545
    1.636636637   10.147632333   10.147632333   10.147632333
    1.651651652   10.109277805   10.109277805   10.109277805
    1.666666667   10.071022208   10.071022208   10.071022208
    1.681681682   10.032867713   10.032867713   10.032867713
    1.696696697    9.994816414    9.994816414    9.994816414
    1.711711712    9.956870331    9.956870331    9.956870331
    1.726726727    9.919031411    9.919031411    9.919031411
    1.741741742    9.881301532    9.881301532    9.881301532
    1.756756757    9.843682502    9.843682502    9.843682502
    1.771771772    9.806176061    9.806176061    9.806176061
    1.786786787    9.768783884    9.768783884    9.768783884
    1.801801802    9.731507582    9.731507582    9.731507582
    1.816816817    9.694348703    9.694348703    9.694348703
    1.831831832    9.657308733    9.657308733    9.657308733
    1.846846847    9.620389098    9.620389098    9.620389098
    1.861861862    9.583591169    9.583591169    9.583591169
    1.876876877    9.546916256    9.546916256    9.546916256
    1.891891892    9.510365616    9.510365616    9.510365616
    1.906906907    9.473940452    9.473940452    9.473940452
    1.921921922    9.437641913    9.437641913    9.437641913
    1.936936937    9.401471097    9.401471097    9.401471097
    1.951951952    9.365429052    9.365429052    9.365429052
    1.966966967    9.329516778    9.329516778    9.329516778
    1.981981982    9.293735226    9.293735226    9.293735226
    1.996996997    9.258085302    9.258085302    9.258085302
    2.012012012    9.222567866    9.222567866    9.222567866
    2.027027027    9.187183734    9.187183734    9.187183734
    2.042042042    9.151933679    9.151933679    9.151933679
    2.057057057    9.116818432    9.116818432    9.116818432
    2.072072072    9.081838686    9.081838686    9.081838686
    2.087087087    9.046995090    9.046995090    9.046995090
    2.102102102    9.012288257    9.012288257    9.012288257
    2.117117117    8.977718764    8.977718764    8.977718764
    2.132132132    8.943287147    8.943287147    8.943287147
    2.147147147    8.908993911    8.908993911    8.908993911
    2.162162162    8.874839524    8.874839524    8.874839524
    2.177177177    8.840824421    8.840824421    8.840824421
    2.192192192    8.806949003    8.806949003    8.806949003
    2.207207207    8.773213642    8.773213642    8.773213642
    2.222222222    8.739618677    8.739618677    8.739618677
    2.237237237    8.706164417    8.706164417    8.706164417
    2.252252252    8.672851141    8.672851141    8.672851141
    2.267267267    8.639679102    8.639679102    8.639679102
    2.282282282    8.606648523    8.606648523    8.606648523
    2.297297297    8.573759601    8.573759601    8.573759601
    2.312312312    8.541012507    8.541012507    8.541012507
    2.327327327    8.508407386    8.508407386    8.508407387
    2.342342342    8.475944360    8.475944360    8.475944360
    2.357357357    8.443623525    8.443623525    8.443623525
    2.372372372    8.411444955    8.411444955    8.411444955
    2.387387387    8.379408700    8.379408700    8.379408700
