# energy grid [eV]     JDOS [1/eV]
#
    0.000000000    0.000000000
    0.015015015    0.000000000
    0.030030030    0.000000000
    0.045045045    0.000000000
    0.060060060    0.000000000
    0.075075075    0.000000000
    0.090090090    0.000000000
    0.105105105    0.000000000
    0.120120120    0.000000000
    0.135135135    0.000000000
    0.150150150    0.000000000
    0.165165165    0.000000000
    0.180180180    0.000000000
    0.195195195    0.000000000
    0.210210210    0.000000000
    0.225225225    0.000000000
    0.240240240    0.000000000
    0.255255255    0.000000000
    0.270270270    0.000000000
    0.285285285    0.000000000
    0.300300300    0.000000000
    0.315315315    0.000000000
    0.330330330    0.000000000
    0.345345345    0.000000001
    0.360360360    0.000000002
    0.375375375    0.000000004
    0.390390390    0.000000009
    0.405405405    0.000000019
    0.420420420    0.000000039
    0.435435435    0.000000074
    0.450450450    0.000000137
    0.465465465    0.000000241
    0.480480480    0.000000405
    0.495495495    0.000000652
    0.510510511    0.000001005
    0.525525526    0.000001481
    0.540540541    0.000002092
    0.555555556    0.000002831
    0.570570571    0.000003675
    0.585585586    0.000004584
    0.600600601    0.000005505
    0.615615616    0.000006386
    0.630630631    0.000007186
    0.645645646    0.000007890
    0.660660661    0.000008521
    0.675675676    0.000009138
    0.690690691    0.000009829
    0.705705706    0.000010694
    0.720720721    0.000011825
    0.735735736    0.000013276
    0.750750751    0.000015055
    0.765765766    0.000017104
    0.780780781    0.000019312
    0.795795796    0.000021529
    0.810810811    0.000023595
    0.825825826    0.000025374
    0.840840841    0.000026773
    0.855855856    0.000027763
    0.870870871    0.000028377
    0.885885886    0.000028696
    0.900900901    0.000028834
    0.915915916    0.000028918
    0.930930931    0.000029086
    0.945945946    0.000029479
    0.960960961    0.000030248
    0.975975976    0.000031551
    0.990990991    0.000033546
    1.006006006    0.000036362
    1.021021021    0.000040071
    1.036036036    0.000044655
    1.051051051    0.000049982
    1.066066066    0.000055808
    1.081081081    0.000061797
    1.096096096    0.000067560
    1.111111111    0.000072711
    1.126126126    0.000076911
    1.141141141    0.000079906
    1.156156156    0.000081562
    1.171171171    0.000081872
    1.186186186    0.000080985
    1.201201201    0.000079203
    1.216216216    0.000076990
    1.231231231    0.000074945
    1.246246246    0.000073751
    1.261261261    0.000074087
    1.276276276    0.000076525
    1.291291291    0.000081419
    1.306306306    0.000088824
    1.321321321    0.000098462
    1.336336336    0.000109745
    1.351351351    0.000121864
    1.366366366    0.000133918
    1.381381381    0.000145056
    1.396396396    0.000154624
    1.411411411    0.000162265
    1.426426426    0.000167981
    1.441441441    0.000172134
    1.456456456    0.000175390
    1.471471471    0.000178614
    1.486486486    0.000182735
    1.501501502    0.000188593
    1.516516517    0.000196806
    1.531531532    0.000207688
    1.546546547    0.000221246
    1.561561562    0.000237272
    1.576576577    0.000255511
    1.591591592    0.000275888
    1.606606607    0.000298704
    1.621621622    0.000324758
    1.636636637    0.000355331
    1.651651652    0.000392019
    1.666666667    0.000436433
    1.681681682    0.000489843
    1.696696697    0.000552836
    1.711711712    0.000625069
    1.726726727    0.000705194
    1.741741742    0.000790939
    1.756756757    0.000879358
    1.771771772    0.000967174
    1.786786787    0.001051159
    1.801801802    0.001128500
    1.816816817    0.001197097
    1.831831832    0.001255788
    1.846846847    0.001304459
    1.861861862    0.001344049
    1.876876877    0.001376403
    1.891891892    0.001403964
    1.906906907    0.001429314
    1.921921922    0.001454630
    1.936936937    0.001481182
    1.951951952    0.001509017
    1.966966967    0.001536959
    1.981981982    0.001562962
    1.996996997    0.001584752
    2.012012012    0.001600578
    2.027027027    0.001609851
    2.042042042    0.001613483
    2.057057057    0.001613809
    2.072072072    0.001614118
    2.087087087    0.001617919
    2.102102102    0.001628130
    2.117117117    0.001646379
    2.132132132    0.001672589
    2.147147147    0.001704912
    2.162162162    0.001740046
    2.177177177    0.001773849
    2.192192192    0.001802150
    2.207207207    0.001821582
    2.222222222    0.001830268
    2.237237237    0.001828219
    2.252252252    0.001817346
    2.267267267    0.001801110
    2.282282282    0.001783876
    2.297297297    0.001770161
    2.312312312    0.001763920
    2.327327327    0.001768014
    2.342342342    0.001783924
    2.357357357    0.001811685
    2.372372372    0.001849979
    2.387387387    0.001896322
    2.402402402    0.001947316
    2.417417417    0.001998950
    2.432432432    0.002047006
    2.447447447    0.002087540
    2.462462462    0.002117418
    2.477477477    0.002134783
    2.492492492    0.002139364
    2.507507508    0.002132529
    2.522522523    0.002117074
    2.537537538    0.002096821
    2.552552553    0.002076130
    2.567567568    0.002059426
    2.582582583    0.002050809
    2.597597598    0.002053724
    2.612612613    0.002070680
    2.627627628    0.002102956
    2.642642643    0.002150339
    2.657657658    0.002210957
    2.672672673    0.002281307
    2.687687688    0.002356588
    2.702702703    0.002431344
    2.717717718    0.002500340
    2.732732733    0.002559504
    2.747747748    0.002606712
    2.762762763    0.002642214
    2.777777778    0.002668601
