# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.015015015    0.011407494    0.011407494    0.011407494
    0.030030030    0.022973345    0.022973345    0.022973345
    0.045045045    0.034863378    0.034863378    0.034863378
    0.060060060    0.047259042    0.047259042    0.047259042
    0.075075075    0.060367048    0.060367048    0.060367048
    0.090090090    0.074431488    0.074431488    0.074431488
    0.105105105    0.089749860    0.089749860    0.089749860
    0.120120120    0.106695056    0.106695056    0.106695056
    0.135135135    0.125746466    0.125746466    0.125746466
    0.150150150    0.147535097    0.147535097    0.147535097
    0.165165165    0.172910565    0.172910565    0.172910565
    0.180180180    0.203042714    0.203042714    0.203042714
    0.195195195    0.239578861    0.239578861    0.239578861
    0.210210210    0.284891388    0.284891388    0.284891388
    0.225225225    0.342472192    0.342472192    0.342472192
    0.240240240    0.417560363    0.417560363    0.417560363
    0.255255255    0.518109179    0.518109179    0.518109179
    0.270270270    0.656105960    0.656105960    0.656105960
    0.285285285    0.848621464    0.848621464    0.848621464
    0.300300300    1.115291331    1.115291331    1.115291331
    0.315315315    1.461020900    1.461020900    1.461020900
    0.330330330    1.825157486    1.825157486    1.825157486
    0.345345345    2.035714653    2.035714653    2.035714653
    0.360360360    1.946965158    1.946965158    1.946965158
    0.375375375    1.652161577    1.652161577    1.652161577
    0.390390390    1.343140438    1.343140438    1.343140438
    0.405405405    1.112854463    1.112854463    1.112854463
    0.420420420    0.971238457    0.971238457    0.971238457
    0.435435435    0.904887317    0.904887317    0.904887317
    0.450450450    0.902243177    0.902243177    0.902243177
    0.465465465    0.958101130    0.958101130    0.958101130
    0.480480480    1.071080219    1.071080219    1.071080219
    0.495495495    1.242868442    1.242868442    1.242868442
    0.510510511    1.484879975    1.484879975    1.484879975
    0.525525526    1.803404359    1.803404359    1.803404359
    0.540540541    2.134589926    2.134589926    2.134589926
    0.555555556    2.309492368    2.309492368    2.309492368
    0.570570571    2.214326248    2.214326248    2.214326248
    0.585585586    1.963412940    1.963412940    1.963412940
    0.600600601    1.741548053    1.741548053    1.741548053
    0.615615616    1.636729232    1.636729232    1.636729232
    0.630630631    1.653988373    1.653988373    1.653988373
    0.645645646    1.744930101    1.744930101    1.744930101
    0.660660661    1.819633323    1.819633323    1.819633323
    0.675675676    1.817172191    1.817172191    1.817172191
    0.690690691    1.744597793    1.744597793    1.744597793
    0.705705706    1.623317792    1.623317792    1.623317792
    0.720720721    1.500188074    1.500188074    1.500188074
    0.735735736    1.431077701    1.431077701    1.431077701
    0.750750751    1.428703959    1.428703959    1.428703959
    0.765765766    1.463967965    1.463967965    1.463967965
    0.780780781    1.515912423    1.515912423    1.515912423
    0.795795796    1.610526685    1.610526685    1.610526685
    0.810810811    1.775328970    1.775328970    1.775328970
    0.825825826    1.982770399    1.982770399    1.982770399
    0.840840841    2.162117391    2.162117391    2.162117391
    0.855855856    2.265024487    2.265024487    2.265024487
    0.870870871    2.277914195    2.277914195    2.277914195
    0.885885886    2.236109435    2.236109435    2.236109435
    0.900900901    2.220218726    2.220218726    2.220218726
    0.915915916    2.243958833    2.243958833    2.243958833
    0.930930931    2.236760530    2.236760530    2.236760530
    0.945945946    2.164088999    2.164088999    2.164088999
    0.960960961    2.055503377    2.055503377    2.055503377
    0.975975976    1.925219664    1.925219664    1.925219664
    0.990990991    1.783873868    1.783873868    1.783873868
    1.006006006    1.672108383    1.672108383    1.672108383
    1.021021021    1.620673402    1.620673402    1.620673402
    1.036036036    1.616038215    1.616038215    1.616038215
    1.051051051    1.637307414    1.637307414    1.637307414
    1.066066066    1.698906139    1.698906139    1.698906139
    1.081081081    1.816127558    1.816127558    1.816127558
    1.096096096    1.973661078    1.973661078    1.973661078
    1.111111111    2.159049835    2.159049835    2.159049835
    1.126126126    2.368929967    2.368929967    2.368929967
    1.141141141    2.560916576    2.560916576    2.560916576
    1.156156156    2.684313485    2.684313485    2.684313485
    1.171171171    2.725741902    2.725741902    2.725741902
    1.186186186    2.692896447    2.692896447    2.692896447
    1.201201201    2.603037270    2.603037270    2.603037270
    1.216216216    2.452819965    2.452819965    2.452819965
    1.231231231    2.270525702    2.270525702    2.270525702
    1.246246246    2.140675029    2.140675029    2.140675029
    1.261261261    2.117412617    2.117412617    2.117412617
    1.276276276    2.181466627    2.181466627    2.181466627
    1.291291291    2.265296044    2.265296044    2.265296044
    1.306306306    2.301656420    2.301656420    2.301656420
    1.321321321    2.253136765    2.253136765    2.253136765
    1.336336336    2.144991120    2.144991120    2.144991120
    1.351351351    2.047810180    2.047810180    2.047810180
    1.366366366    2.013781447    2.013781447    2.013781447
    1.381381381    2.058010041    2.058010041    2.058010041
    1.396396396    2.191440501    2.191440501    2.191440501
    1.411411411    2.429751422    2.429751422    2.429751422
    1.426426426    2.751283017    2.751283017    2.751283017
    1.441441441    3.079949944    3.079949944    3.079949944
    1.456456456    3.314297950    3.314297950    3.314297950
    1.471471471    3.384463261    3.384463261    3.384463261
    1.486486486    3.304876105    3.304876105    3.304876105
    1.501501502    3.145151073    3.145151073    3.145151073
    1.516516517    2.969598548    2.969598548    2.969598548
    1.531531532    2.826261431    2.826261431    2.826261431
    1.546546547    2.753510139    2.753510139    2.753510139
    1.561561562    2.733790175    2.733790175    2.733790175
    1.576576577    2.699659232    2.699659232    2.699659232
    1.591591592    2.623484420    2.623484420    2.623484420
    1.606606607    2.545406559    2.545406559    2.545406559
    1.621621622    2.527669258    2.527669258    2.527669258
    1.636636637    2.591765634    2.591765634    2.591765634
    1.651651652    2.713419403    2.713419403    2.713419403
    1.666666667    2.896369662    2.896369662    2.896369662
    1.681681682    3.179036096    3.179036096    3.179036096
    1.696696697    3.550006134    3.550006134    3.550006134
    1.711711712    3.921626288    3.921626288    3.921626288
    1.726726727    4.161131725    4.161131725    4.161131725
    1.741741742    4.175352612    4.175352612    4.175352612
    1.756756757    4.020496503    4.020496503    4.020496503
    1.771771772    3.836116905    3.836116905    3.836116905
    1.786786787    3.718967455    3.718967455    3.718967455
    1.801801802    3.671913540    3.671913540    3.671913540
    1.816816817    3.637822245    3.637822245    3.637822245
    1.831831832    3.597851492    3.597851492    3.597851492
    1.846846847    3.584883281    3.584883281    3.584883281
    1.861861862    3.638659152    3.638659152    3.638659152
    1.876876877    3.788920397    3.788920397    3.788920397
    1.891891892    4.054960453    4.054960453    4.054960453
