# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    13.186217176   13.186217176   13.186217176
    0.000000000   12.162080352   12.162080351   12.162080352
    0.015015015   12.163700674   12.163700674   12.163700674
    0.030030030   12.168580916   12.168580915   12.168580916
    0.045045045   12.176779587   12.176779587   12.176779587
    0.060060060   12.188396532   12.188396532   12.188396532
    0.075075075   12.203576542   12.203576542   12.203576542
    0.090090090   12.222514654   12.222514653   12.222514654
    0.105105105   12.245463351   12.245463351   12.245463351
    0.120120120   12.272741919   12.272741919   12.272741919
    0.135135135   12.304748083   12.304748083   12.304748083
    0.150150150   12.341971752   12.341971752   12.341971752
    0.165165165   12.385009774   12.385009774   12.385009774
    0.180180180   12.434578342   12.434578341   12.434578342
    0.195195195   12.491514366   12.491514366   12.491514366
    0.210210210   12.556744479   12.556744479   12.556744479
    0.225225225   12.631170446   12.631170445   12.631170445
    0.240240240   12.715348325   12.715348324   12.715348324
    0.255255255   12.808668087   12.808668087   12.808668087
    0.270270270   12.907343424   12.907343424   12.907343424
    0.285285285   12.999699035   12.999699035   12.999699035
    0.300300300   13.056223236   13.056223236   13.056223236
    0.315315315   13.014703259   13.014703259   13.014703259
    0.330330330   12.785117416   12.785117416   12.785117416
    0.345345345   12.346368355   12.346368355   12.346368355
    0.360360360   11.878008002   11.878008001   11.878008002
    0.375375375   11.602124323   11.602124323   11.602124323
    0.390390390   11.545833251   11.545833250   11.545833251
    0.405405405   11.623266867   11.623266866   11.623266866
    0.420420420   11.762209536   11.762209536   11.762209536
    0.435435435   11.925513106   11.925513106   11.925513106
    0.450450450   12.096149930   12.096149929   12.096149929
    0.465465465   12.263868477   12.263868477   12.263868477
    0.480480480   12.418583720   12.418583719   12.418583720
    0.495495495   12.549848884   12.549848884   12.549848884
    0.510510511   12.638709821   12.638709821   12.638709821
    0.525525526   12.629910904   12.629910904   12.629910904
    0.540540541   12.437837996   12.437837995   12.437837995
    0.555555556   12.060113671   12.060113670   12.060113671
    0.570570571   11.683343593   11.683343593   11.683343593
    0.585585586   11.500348643   11.500348643   11.500348643
    0.600600601   11.513615533   11.513615533   11.513615533
    0.615615616   11.623123709   11.623123708   11.623123708
    0.630630631   11.729939923   11.729939923   11.729939923
    0.645645646   11.758600959   11.758600959   11.758600959
    0.660660661   11.690356722   11.690356722   11.690356722
    0.675675676   11.584005901   11.584005900   11.584005901
    0.690690691   11.498905849   11.498905848   11.498905848
    0.705705706   11.471226476   11.471226476   11.471226476
    0.720720721   11.527849675   11.527849675   11.527849675
    0.735735736   11.646341684   11.646341684   11.646341684
    0.750750751   11.774776323   11.774776322   11.774776323
    0.765765766   11.884287164   11.884287164   11.884287164
    0.780780781   11.991201939   11.991201938   11.991201939
    0.795795796   12.108195677   12.108195677   12.108195677
    0.810810811   12.196209284   12.196209284   12.196209284
    0.825825826   12.197206676   12.197206675   12.197206675
    0.840840841   12.100163310   12.100163310   12.100163310
    0.855855856   11.947581115   11.947581115   11.947581115
    0.870870871   11.795771798   11.795771797   11.795771798
    0.885885886   11.706537895   11.706537895   11.706537895
    0.900900901   11.673173721   11.673173721   11.673173721
    0.915915916   11.617361314   11.617361313   11.617361314
    0.930930931   11.513023383   11.513023383   11.513023383
    0.945945946   11.416799151   11.416799151   11.416799151
    0.960960961   11.362373455   11.362373455   11.362373455
    0.975975976   11.350324539   11.350324539   11.350324539
    0.990990991   11.399054201   11.399054201   11.399054201
    1.006006006   11.515275556   11.515275555   11.515275556
    1.021021021   11.663906642   11.663906641   11.663906642
    1.036036036   11.809158044   11.809158044   11.809158044
    1.051051051   11.954880093   11.954880093   11.954880093
    1.066066066   12.110085155   12.110085155   12.110085155
    1.081081081   12.250033216   12.250033216   12.250033216
    1.096096096   12.349791308   12.349791308   12.349791308
    1.111111111   12.405754552   12.405754552   12.405754552
    1.126126126   12.397129985   12.397129985   12.397129985
    1.141141141   12.299732007   12.299732007   12.299732007
    1.156156156   12.139911286   12.139911285   12.139911285
    1.171171171   11.961141358   11.961141358   11.961141358
    1.186186186   11.798861979   11.798861979   11.798861979
    1.201201201   11.669003360   11.669003359   11.669003359
    1.216216216   11.589940251   11.589940251   11.589940251
    1.231231231   11.613323410   11.613323409   11.613323410
    1.246246246   11.743380957   11.743380957   11.743380957
    1.261261261   11.909151051   11.909151051   11.909151051
    1.276276276   12.028723234   12.028723234   12.028723234
    1.291291291   12.065374427   12.065374427   12.065374427
    1.306306306   12.038493807   12.038493807   12.038493807
    1.321321321   12.009693667   12.009693667   12.009693667
    1.336336336   12.052956653   12.052956653   12.052956653
    1.351351351   12.191360147   12.191360147   12.191360147
    1.366366366   12.394425047   12.394425047   12.394425047
    1.381381381   12.624904730   12.624904730   12.624904730
    1.396396396   12.858180496   12.858180496   12.858180496
    1.411411411   13.049583318   13.049583318   13.049583318
    1.426426426   13.130014439   13.130014439   13.130014439
    1.441441441   13.052177166   13.052177165   13.052177165
    1.456456456   12.830775143   12.830775143   12.830775143
    1.471471471   12.553474567   12.553474566   12.553474567
    1.486486486   12.326997007   12.326997007   12.326997007
    1.501501502   12.206159022   12.206159021   12.206159022
    1.516516517   12.192820090   12.192820090   12.192820090
    1.531531532   12.269596318   12.269596318   12.269596318
    1.546546547   12.390545785   12.390545785   12.390545785
    1.561561562   12.489382257   12.489382256   12.489382257
    1.576576577   12.557678184   12.557678184   12.557678184
    1.591591592   12.653248825   12.653248825   12.653248825
    1.606606607   12.824157819   12.824157819   12.824157819
    1.621621622   13.060625362   13.060625361   13.060625361
    1.636636637   13.309989266   13.309989266   13.309989266
    1.651651652   13.546071049   13.546071049   13.546071049
    1.666666667   13.779956851   13.779956851   13.779956851
    1.681681682   13.979178261   13.979178261   13.979178261
    1.696696697   14.060070303   14.060070303   14.060070303
    1.711711712   13.960063956   13.960063955   13.960063956
    1.726726727   13.695377651   13.695377650   13.695377651
    1.741741742   13.399872869   13.399872869   13.399872869
    1.756756757   13.233592143   13.233592142   13.233592143
    1.771771772   13.239901789   13.239901788   13.239901788
    1.786786787   13.356044042   13.356044042   13.356044042
    1.801801802   13.493639189   13.493639189   13.493639189
    1.816816817   13.629801181   13.629801180   13.629801181
    1.831831832   13.804831802   13.804831802   13.804831802
    1.846846847   14.044108753   14.044108753   14.044108753
    1.861861862   14.338674385   14.338674385   14.338674385
    1.876876877   14.660015032   14.660015032   14.660015032
    1.891891892   14.963741666   14.963741666   14.963741666
    1.906906907   15.185529166   15.185529166   15.185529166
    1.921921922   15.255803723   15.255803723   15.255803723
    1.936936937   15.148559484   15.148559484   15.148559484
    1.951951952   14.943931371   14.943931371   14.943931371
    1.966966967   14.783328315   14.783328315   14.783328315
    1.981981982   14.757832106   14.757832106   14.757832106
    1.996996997   14.899775854   14.899775854   14.899775854
    2.012012012   15.170649594   15.170649594   15.170649594
    2.027027027   15.465189577   15.465189577   15.465189577
    2.042042042   15.707911545   15.707911545   15.707911545
    2.057057057   15.920787515   15.920787515   15.920787515
    2.072072072   16.135855276   16.135855276   16.135855276
    2.087087087   16.321374891   16.321374891   16.321374891
    2.102102102   16.462365626   16.462365626   16.462365626
    2.117117117   16.576998263   16.576998262   16.576998262
    2.132132132   16.630213088   16.630213088   16.630213088
    2.147147147   16.552500011   16.552500011   16.552500011
    2.162162162   16.319333550   16.319333549   16.319333550
    2.177177177   15.918417636   15.918417636   15.918417636
    2.192192192   15.352444668   15.352444668   15.352444668
    2.207207207   14.692769789   14.692769789   14.692769789
    2.222222222   14.034670045   14.034670045   14.034670045
    2.237237237   13.451899062   13.451899061   13.451899062
    2.252252252   12.974749731   12.974749731   12.974749731
    2.267267267   12.601760331   12.601760330   12.601760330
    2.282282282   12.346800144   12.346800143   12.346800143
    2.297297297   12.204640241   12.204640241   12.204640241
    2.312312312   12.081572461   12.081572461   12.081572461
    2.327327327   11.831698470   11.831698470   11.831698470
    2.342342342   11.384599828   11.384599828   11.384599828
    2.357357357   10.856424913   10.856424913   10.856424913
    2.372372372   10.415627382   10.415627382   10.415627382
    2.387387387   10.113907804   10.113907804   10.113907804
    2.402402402    9.947290711    9.947290710    9.947290711
    2.417417417    9.884516473    9.884516473    9.884516473
    2.432432432    9.863742566    9.863742566    9.863742566
    2.447447447    9.839896646    9.839896646    9.839896646
    2.462462462    9.803902278    9.803902277    9.803902278
    2.477477477    9.712257178    9.712257178    9.712257178
    2.492492492    9.470027547    9.470027547    9.470027547
    2.507507508    9.063612788    9.063612788    9.063612788
    2.522522523    8.619936812    8.619936812    8.619936812
    2.537537538    8.264472386    8.264472386    8.264472386
    2.552552553    8.050861370    8.050861370    8.050861370
    2.567567568    8.008841831    8.008841831    8.008841831
    2.582582583    8.111249834    8.111249833    8.111249833
    2.597597598    8.269853049    8.269853049    8.269853049
    2.612612613    8.411003177    8.411003176    8.411003176
    2.627627628    8.470168100    8.470168099    8.470168100
    2.642642643    8.406478316    8.406478315    8.406478315
    2.657657658    8.263588270    8.263588269    8.263588270
    2.672672673    8.130415651    8.130415651    8.130415651
    2.687687688    8.039037296    8.039037296    8.039037296
    2.702702703    7.956477838    7.956477838    7.956477838
    2.717717718    7.848474866    7.848474866    7.848474866
    2.732732733    7.708661146    7.708661146    7.708661146
    2.747747748    7.571375397    7.571375397    7.571375397
