# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000   12.119426718   12.119426718   12.119426718
    0.015015015   12.110034602   12.110034602   12.110034602
    0.030030030   12.094044089   12.094044089   12.094044089
    0.045045045   12.075155143   12.075155143   12.075155143
    0.060060060   12.053635942   12.053635942   12.053635942
    0.075075075   12.029726324   12.029726324   12.029726324
    0.090090090   12.003671525   12.003671525   12.003671525
    0.105105105   11.975715261   11.975715261   11.975715261
    0.120120120   11.946093842   11.946093842   11.946093842
    0.135135135   11.915031573   11.915031573   11.915031573
    0.150150150   11.882737458   11.882737458   11.882737458
    0.165165165   11.849403099   11.849403099   11.849403099
    0.180180180   11.815201636   11.815201636   11.815201636
    0.195195195   11.780287534   11.780287534   11.780287534
    0.210210210   11.744797034   11.744797034   11.744797034
    0.225225225   11.708849068   11.708849068   11.708849068
    0.240240240   11.672546490   11.672546490   11.672546490
    0.255255255   11.635977488   11.635977488   11.635977488
    0.270270270   11.599217070   11.599217070   11.599217070
    0.285285285   11.562328547   11.562328547   11.562328547
    0.300300300   11.525364958   11.525364958   11.525364958
    0.315315315   11.488370409   11.488370409   11.488370409
    0.330330330   11.451381291   11.451381291   11.451381291
    0.345345345   11.414427383   11.414427383   11.414427383
    0.360360360   11.377532831   11.377532831   11.377532831
    0.375375375   11.340717004   11.340717004   11.340717004
    0.390390390   11.303995246   11.303995246   11.303995246
    0.405405405   11.267379524   11.267379524   11.267379524
    0.420420420   11.230878980   11.230878980   11.230878980
    0.435435435   11.194500410   11.194500410   11.194500410
    0.450450450   11.158248670   11.158248670   11.158248670
    0.465465465   11.122127014   11.122127014   11.122127014
    0.480480480   11.086137390   11.086137390   11.086137390
    0.495495495   11.050280683   11.050280683   11.050280683
    0.510510511   11.014556918   11.014556918   11.014556918
    0.525525526   10.978965438   10.978965438   10.978965438
    0.540540541   10.943505046   10.943505046   10.943505046
    0.555555556   10.908174123   10.908174123   10.908174123
    0.570570571   10.872970734   10.872970734   10.872970734
    0.585585586   10.837892710   10.837892710   10.837892710
    0.600600601   10.802937714   10.802937714   10.802937714
    0.615615616   10.768103304   10.768103304   10.768103304
    0.630630631   10.733386975   10.733386975   10.733386975
    0.645645646   10.698786202   10.698786202   10.698786202
    0.660660661   10.664298468   10.664298468   10.664298468
    0.675675676   10.629921289   10.629921289   10.629921289
    0.690690691   10.595652238   10.595652238   10.595652238
    0.705705706   10.561488959   10.561488959   10.561488959
    0.720720721   10.527429177   10.527429177   10.527429177
    0.735735736   10.493470711   10.493470711   10.493470711
    0.750750751   10.459611479   10.459611479   10.459611479
    0.765765766   10.425849505   10.425849505   10.425849505
    0.780780781   10.392182919   10.392182919   10.392182919
    0.795795796   10.358609960   10.358609960   10.358609960
    0.810810811   10.325128977   10.325128977   10.325128977
    0.825825826   10.291738430   10.291738430   10.291738430
    0.840840841   10.258436885   10.258436885   10.258436885
    0.855855856   10.225223015   10.225223015   10.225223015
    0.870870871   10.192095597   10.192095597   10.192095597
    0.885885886   10.159053508   10.159053508   10.159053508
    0.900900901   10.126095724   10.126095724   10.126095724
    0.915915916   10.093221315   10.093221315   10.093221315
    0.930930931   10.060429443   10.060429443   10.060429443
    0.945945946   10.027719354   10.027719354   10.027719354
    0.960960961    9.995090383    9.995090383    9.995090383
    0.975975976    9.962541939    9.962541939    9.962541939
    0.990990991    9.930073511    9.930073511    9.930073511
    1.006006006    9.897684659    9.897684659    9.897684659
    1.021021021    9.865375011    9.865375011    9.865375011
    1.036036036    9.833144260    9.833144260    9.833144260
    1.051051051    9.800992161    9.800992161    9.800992161
    1.066066066    9.768918526    9.768918526    9.768918526
    1.081081081    9.736923221    9.736923221    9.736923221
    1.096096096    9.705006164    9.705006164    9.705006164
    1.111111111    9.673167321    9.673167321    9.673167321
    1.126126126    9.641406700    9.641406700    9.641406700
    1.141141141    9.609724354    9.609724354    9.609724354
    1.156156156    9.578120373    9.578120373    9.578120373
    1.171171171    9.546594882    9.546594882    9.546594882
    1.186186186    9.515148040    9.515148040    9.515148040
    1.201201201    9.483780039    9.483780039    9.483780039
    1.216216216    9.452491096    9.452491096    9.452491096
    1.231231231    9.421281454    9.421281454    9.421281454
    1.246246246    9.390151383    9.390151383    9.390151383
    1.261261261    9.359101170    9.359101170    9.359101170
    1.276276276    9.328131124    9.328131124    9.328131124
    1.291291291    9.297241572    9.297241572    9.297241572
    1.306306306    9.266432855    9.266432855    9.266432855
    1.321321321    9.235705328    9.235705328    9.235705328
    1.336336336    9.205059360    9.205059360    9.205059360
    1.351351351    9.174495328    9.174495328    9.174495328
    1.366366366    9.144013621    9.144013621    9.144013621
    1.381381381    9.113614633    9.113614633    9.113614633
    1.396396396    9.083298766    9.083298766    9.083298766
    1.411411411    9.053066427    9.053066427    9.053066427
    1.426426426    9.022918027    9.022918027    9.022918027
    1.441441441    8.992853979    8.992853979    8.992853979
    1.456456456    8.962874697    8.962874697    8.962874697
    1.471471471    8.932980599    8.932980599    8.932980599
    1.486486486    8.903172100    8.903172100    8.903172100
    1.501501502    8.873449614    8.873449614    8.873449614
    1.516516517    8.843813555    8.843813555    8.843813555
    1.531531532    8.814264332    8.814264332    8.814264332
    1.546546547    8.784802352    8.784802352    8.784802352
    1.561561562    8.755428019    8.755428019    8.755428019
    1.576576577    8.726141729    8.726141729    8.726141729
    1.591591592    8.696943877    8.696943877    8.696943877
    1.606606607    8.667834849    8.667834849    8.667834849
    1.621621622    8.638815026    8.638815026    8.638815026
    1.636636637    8.609884783    8.609884783    8.609884783
    1.651651652    8.581044485    8.581044485    8.581044485
    1.666666667    8.552294494    8.552294494    8.552294494
    1.681681682    8.523635160    8.523635160    8.523635160
    1.696696697    8.495066827    8.495066827    8.495066827
    1.711711712    8.466589831    8.466589831    8.466589831
    1.726726727    8.438204496    8.438204496    8.438204496
    1.741741742    8.409911142    8.409911142    8.409911142
    1.756756757    8.381710075    8.381710075    8.381710075
    1.771771772    8.353601595    8.353601595    8.353601595
    1.786786787    8.325585991    8.325585991    8.325585991
    1.801801802    8.297663542    8.297663542    8.297663542
    1.816816817    8.269834519    8.269834519    8.269834519
    1.831831832    8.242099180    8.242099180    8.242099180
    1.846846847    8.214457777    8.214457777    8.214457777
    1.861861862    8.186910548    8.186910548    8.186910548
    1.876876877    8.159457724    8.159457724    8.159457724
    1.891891892    8.132099524    8.132099524    8.132099524
    1.906906907    8.104836158    8.104836158    8.104836158
    1.921921922    8.077667824    8.077667824    8.077667824
    1.936936937    8.050594712    8.050594712    8.050594712
    1.951951952    8.023617001    8.023617001    8.023617001
    1.966966967    7.996734859    7.996734859    7.996734859
    1.981981982    7.969948445    7.969948445    7.969948445
    1.996996997    7.943257907    7.943257907    7.943257907
    2.012012012    7.916663385    7.916663385    7.916663385
    2.027027027    7.890165006    7.890165006    7.890165006
    2.042042042    7.863762889    7.863762889    7.863762889
    2.057057057    7.837457144    7.837457144    7.837457144
    2.072072072    7.811247870    7.811247870    7.811247870
    2.087087087    7.785135155    7.785135155    7.785135155
    2.102102102    7.759119080    7.759119080    7.759119080
    2.117117117    7.733199715    7.733199715    7.733199716
    2.132132132    7.707377123    7.707377123    7.707377123
    2.147147147    7.681651354    7.681651354    7.681651354
    2.162162162    7.656022451    7.656022451    7.656022451
    2.177177177    7.630490449    7.630490449    7.630490449
    2.192192192    7.605055371    7.605055371    7.605055371
    2.207207207    7.579717235    7.579717235    7.579717235
    2.222222222    7.554476048    7.554476048    7.554476048
    2.237237237    7.529331809    7.529331809    7.529331809
    2.252252252    7.504284508    7.504284508    7.504284508
    2.267267267    7.479334128    7.479334128    7.479334128
    2.282282282    7.454480643    7.454480643    7.454480643
    2.297297297    7.429724019    7.429724019    7.429724019
    2.312312312    7.405064214    7.405064214    7.405064214
    2.327327327    7.380501179    7.380501179    7.380501179
    2.342342342    7.356034857    7.356034857    7.356034857
    2.357357357    7.331665184    7.331665184    7.331665184
    2.372372372    7.307392087    7.307392087    7.307392087
    2.387387387    7.283215488    7.283215488    7.283215488
    2.402402402    7.259135301    7.259135301    7.259135301
    2.417417417    7.235151431    7.235151431    7.235151431
    2.432432432    7.211263781    7.211263781    7.211263781
    2.447447447    7.187472243    7.187472243    7.187472243
    2.462462462    7.163776704    7.163776704    7.163776704
    2.477477477    7.140177045    7.140177045    7.140177045
    2.492492492    7.116673141    7.116673141    7.116673141
    2.507507508    7.093264859    7.093264859    7.093264859
    2.522522523    7.069952062    7.069952062    7.069952062
    2.537537538    7.046734606    7.046734606    7.046734606
    2.552552553    7.023612343    7.023612343    7.023612343
    2.567567568    7.000585116    7.000585116    7.000585116
    2.582582583    6.977652766    6.977652766    6.977652766
    2.597597598    6.954815127    6.954815127    6.954815127
    2.612612613    6.932072028    6.932072028    6.932072028
    2.627627628    6.909423293    6.909423293    6.909423293
    2.642642643    6.886868741    6.886868741    6.886868741
    2.657657658    6.864408186    6.864408186    6.864408186
    2.672672673    6.842041437    6.842041437    6.842041437
    2.687687688    6.819768299    6.819768299    6.819768299
    2.702702703    6.797588572    6.797588572    6.797588572
    2.717717718    6.775502052    6.775502052    6.775502052
    2.732732733    6.753508531    6.753508531    6.753508531
    2.747747748    6.731607796    6.731607796    6.731607796
    2.762762763    6.709799630    6.709799630    6.709799630
    2.777777778    6.688083813    6.688083813    6.688083813
    2.792792793    6.666460120    6.666460120    6.666460120
    2.807807808    6.644928323    6.644928323    6.644928323
    2.822822823    6.623488191    6.623488191    6.623488191
    2.837837838    6.602139487    6.602139487    6.602139487
    2.852852853    6.580881972    6.580881972    6.580881972
    2.867867868    6.559715406    6.559715406    6.559715406
    2.882882883    6.538639542    6.538639542    6.538639542
    2.897897898    6.517654132    6.517654132    6.517654132
    2.912912913    6.496758925    6.496758925    6.496758925
    2.927927928    6.475953666    6.475953666    6.475953666
    2.942942943    6.455238097    6.455238097    6.455238097
    2.957957958    6.434611958    6.434611958    6.434611958
    2.972972973    6.414074987    6.414074987    6.414074987
    2.987987988    6.393626919    6.393626919    6.393626919
    3.003003003    6.373267484    6.373267484    6.373267484
    3.018018018    6.352996414    6.352996414    6.352996414
    3.033033033    6.332813435    6.332813435    6.332813435
    3.048048048    6.312718273    6.312718273    6.312718273
    3.063063063    6.292710650    6.292710650    6.292710650
    3.078078078    6.272790286    6.272790286    6.272790286
    3.093093093    6.252956902    6.252956902    6.252956902
    3.108108108    6.233210213    6.233210213    6.233210213
    3.123123123    6.213549935    6.213549935    6.213549935
    3.138138138    6.193975780    6.193975780    6.193975780
    3.153153153    6.174487461    6.174487461    6.174487461
    3.168168168    6.155084686    6.155084686    6.155084686
    3.183183183    6.135767163    6.135767163    6.135767163
    3.198198198    6.116534600    6.116534600    6.116534600
    3.213213213    6.097386702    6.097386702    6.097386702
    3.228228228    6.078323172    6.078323172    6.078323172
    3.243243243    6.059343712    6.059343712    6.059343712
    3.258258258    6.040448023    6.040448023    6.040448023
    3.273273273    6.021635806    6.021635806    6.021635806
    3.288288288    6.002906759    6.002906759    6.002906759
    3.303303303    5.984260580    5.984260580    5.984260580
    3.318318318    5.965696965    5.965696965    5.965696965
    3.333333333    5.947215610    5.947215610    5.947215610
    3.348348348    5.928816209    5.928816209    5.928816209
    3.363363363    5.910498456    5.910498456    5.910498456
    3.378378378    5.892262044    5.892262044    5.892262044
    3.393393393    5.874106666    5.874106666    5.874106666
    3.408408408    5.856032011    5.856032011    5.856032011
    3.423423423    5.838037773    5.838037773    5.838037773
    3.438438438    5.820123639    5.820123639    5.820123639
    3.453453453    5.802289300    5.802289300    5.802289300
    3.468468468    5.784534445    5.784534445    5.784534445
    3.483483483    5.766858762    5.766858762    5.766858762
    3.498498498    5.749261940    5.749261940    5.749261940
    3.513513514    5.731743665    5.731743665    5.731743665
    3.528528529    5.714303625    5.714303625    5.714303625
    3.543543544    5.696941507    5.696941507    5.696941507
    3.558558559    5.679656998    5.679656998    5.679656998
    3.573573574    5.662449784    5.662449784    5.662449784
    3.588588589    5.645319551    5.645319551    5.645319551
    3.603603604    5.628265985    5.628265985    5.628265985
    3.618618619    5.611288773    5.611288773    5.611288773
    3.633633634    5.594387598    5.594387598    5.594387598
    3.648648649    5.577562149    5.577562149    5.577562149
    3.663663664    5.560812110    5.560812110    5.560812110
    3.678678679    5.544137166    5.544137166    5.544137166
    3.693693694    5.527537004    5.527537004    5.527537004
    3.708708709    5.511011310    5.511011310    5.511011310
    3.723723724    5.494559768    5.494559768    5.494559768
    3.738738739    5.478182066    5.478182066    5.478182066
    3.753753754    5.461877890    5.461877890    5.461877890
    3.768768769    5.445646925    5.445646925    5.445646925
    3.783783784    5.429488858    5.429488858    5.429488858
    3.798798799    5.413403377    5.413403377    5.413403377
    3.813813814    5.397390168    5.397390168    5.397390168
    3.828828829    5.381448919    5.381448919    5.381448919
    3.843843844    5.365579318    5.365579318    5.365579318
    3.858858859    5.349781052    5.349781052    5.349781052
    3.873873874    5.334053810    5.334053810    5.334053810
    3.888888889    5.318397281    5.318397281    5.318397281
    3.903903904    5.302811153    5.302811153    5.302811153
    3.918918919    5.287295118    5.287295118    5.287295118
    3.933933934    5.271848865    5.271848865    5.271848865
    3.948948949    5.256472084    5.256472084    5.256472084
    3.963963964    5.241164467    5.241164467    5.241164467
    3.978978979    5.225925705    5.225925705    5.225925705
    3.993993994    5.210755492    5.210755492    5.210755492
    4.009009009    5.195653518    5.195653518    5.195653518
    4.024024024    5.180619479    5.180619479    5.180619479
    4.039039039    5.165653067    5.165653067    5.165653067
    4.054054054    5.150753978    5.150753978    5.150753978
    4.069069069    5.135921906    5.135921906    5.135921906
    4.084084084    5.121156548    5.121156548    5.121156548
    4.099099099    5.106457600    5.106457600    5.106457600
    4.114114114    5.091824760    5.091824760    5.091824760
    4.129129129    5.077257725    5.077257725    5.077257725
    4.144144144    5.062756194    5.062756194    5.062756194
    4.159159159    5.048319866    5.048319866    5.048319866
    4.174174174    5.033948442    5.033948442    5.033948442
    4.189189189    5.019641622    5.019641622    5.019641622
    4.204204204    5.005399109    5.005399109    5.005399109
    4.219219219    4.991220603    4.991220603    4.991220603
    4.234234234    4.977105810    4.977105810    4.977105810
    4.249249249    4.963054433    4.963054433    4.963054433
    4.264264264    4.949066176    4.949066176    4.949066176
    4.279279279    4.935140746    4.935140746    4.935140746
    4.294294294    4.921277849    4.921277849    4.921277849
    4.309309309    4.907477192    4.907477192    4.907477192
    4.324324324    4.893738484    4.893738484    4.893738484
    4.339339339    4.880061434    4.880061434    4.880061434
    4.354354354    4.866445752    4.866445752    4.866445752
    4.369369369    4.852891149    4.852891149    4.852891149
    4.384384384    4.839397336    4.839397336    4.839397336
