# energy grid [eV]     JDOS [1/eV]
#
    0.000000000    0.000000000
    0.015015015    0.000000000
    0.030030030    0.000000000
    0.045045045    0.000000001
    0.060060060    0.000000001
    0.075075075    0.000000003
    0.090090090    0.000000007
    0.105105105    0.000000015
    0.120120120    0.000000030
    0.135135135    0.000000058
    0.150150150    0.000000109
    0.165165165    0.000000195
    0.180180180    0.000000333
    0.195195195    0.000000544
    0.210210210    0.000000849
    0.225225225    0.000001268
    0.240240240    0.000001810
    0.255255255    0.000002472
    0.270270270    0.000003231
    0.285285285    0.000004043
    0.300300300    0.000004851
    0.315315315    0.000005589
    0.330330330    0.000006201
    0.345345345    0.000006659
    0.360360360    0.000006970
    0.375375375    0.000007189
    0.390390390    0.000007410
    0.405405405    0.000007759
    0.420420420    0.000008364
    0.435435435    0.000009331
    0.450450450    0.000010723
    0.465465465    0.000012534
    0.480480480    0.000014690
    0.495495495    0.000017052
    0.510510511    0.000019441
    0.525525526    0.000021671
    0.540540541    0.000023581
    0.555555556    0.000025072
    0.570570571    0.000026115
    0.585585586    0.000026752
    0.600600601    0.000027072
    0.615615616    0.000027186
    0.630630631    0.000027199
    0.645645646    0.000027195
    0.660660661    0.000027241
    0.675675676    0.000027403
    0.690690691    0.000027772
    0.705705706    0.000028477
    0.720720721    0.000029686
    0.735735736    0.000031582
    0.750750751    0.000034330
    0.765765766    0.000038023
    0.780780781    0.000042645
    0.795795796    0.000048049
    0.810810811    0.000053955
    0.825825826    0.000059977
    0.840840841    0.000065677
    0.855855856    0.000070616
    0.870870871    0.000074424
    0.885885886    0.000076838
    0.900900901    0.000077745
    0.915915916    0.000077195
    0.930930931    0.000075400
    0.945945946    0.000072727
    0.960960961    0.000069669
    0.975975976    0.000066807
    0.990990991    0.000064758
    1.006006006    0.000064111
    1.021021021    0.000065356
    1.036036036    0.000068813
    1.051051051    0.000074566
    1.066066066    0.000082427
    1.081081081    0.000091932
    1.096096096    0.000102377
    1.111111111    0.000112901
    1.126126126    0.000122605
    1.141141141    0.000130690
    1.156156156    0.000136586
    1.171171171    0.000140043
    1.186186186    0.000141170
    1.201201201    0.000140390
    1.216216216    0.000138340
    1.231231231    0.000135734
    1.246246246    0.000133221
    1.261261261    0.000131294
    1.276276276    0.000130263
    1.291291291    0.000130306
    1.306306306    0.000131562
    1.321321321    0.000134234
    1.336336336    0.000138635
    1.351351351    0.000145159
    1.366366366    0.000154157
    1.381381381    0.000165776
    1.396396396    0.000179794
    1.411411411    0.000195531
    1.426426426    0.000211871
    1.441441441    0.000227418
    1.456456456    0.000240729
    1.471471471    0.000250580
    1.486486486    0.000256199
    1.501501502    0.000257402
    1.516516517    0.000254618
    1.531531532    0.000248816
    1.546546547    0.000241366
    1.561561562    0.000233864
    1.576576577    0.000227954
    1.591591592    0.000225156
    1.606606607    0.000226692
    1.621621622    0.000233331
    1.636636637    0.000245252
    1.651651652    0.000261963
    1.666666667    0.000282317
    1.681681682    0.000304643
    1.696696697    0.000326989
    1.711711712    0.000347449
    1.726726727    0.000364500
    1.741741742    0.000377269
    1.756756757    0.000385683
    1.771771772    0.000390460
    1.786786787    0.000392965
    1.801801802    0.000394961
    1.816816817    0.000398309
    1.831831832    0.000404669
    1.846846847    0.000415239
    1.861861862    0.000430555
    1.876876877    0.000450399
    1.891891892    0.000473828
    1.906906907    0.000499354
    1.921921922    0.000525256
    1.936936937    0.000549976
    1.951951952    0.000572525
    1.966966967    0.000592782
    1.981981982    0.000611625
    1.996996997    0.000630844
    2.012012012    0.000652856
    2.027027027    0.000680306
    2.042042042    0.000715629
    2.057057057    0.000760669
    2.072072072    0.000816390
    2.087087087    0.000882723
    2.102102102    0.000958527
    2.117117117    0.001041661
    2.132132132    0.001129173
    2.147147147    0.001217594
    2.162162162    0.001303325
    2.177177177    0.001383085
    2.192192192    0.001454339
    2.207207207    0.001515627
    2.222222222    0.001566703
    2.237237237    0.001608437
    2.252252252    0.001642499
    2.267267267    0.001670894
    2.282282282    0.001695482
    2.297297297    0.001717621
    2.312312312    0.001738037
    2.327327327    0.001756945
    2.342342342    0.001774353
    2.357357357    0.001790431
    2.372372372    0.001805770
    2.387387387    0.001821413
    2.402402402    0.001838625
    2.417417417    0.001858457
    2.432432432    0.001881266
    2.447447447    0.001906367
    2.462462462    0.001931986
    2.477477477    0.001955556
    2.492492492    0.001974316
    2.507507508    0.001986049
    2.522522523    0.001989737
    2.537537538    0.001985944
    2.552552553    0.001976793
    2.567567568    0.001965552
    2.582582583    0.001955931
    2.597597598    0.001951301
    2.612612613    0.001954014
    2.627627628    0.001965001
    2.642642643    0.001983700
    2.657657658    0.002008298
    2.672672673    0.002036181
    2.687687688    0.002064491
    2.702702703    0.002090634
    2.717717718    0.002112680
    2.732732733    0.002129587
    2.747747748    0.002141239
    2.762762763    0.002148333
    2.777777778    0.002152161
