# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.015015015    0.001055593    0.001055593    0.001055593
    0.030030030    0.002111619    0.002111619    0.002111619
    0.045045045    0.003168508    0.003168508    0.003168508
    0.060060060    0.004226697    0.004226697    0.004226697
    0.075075075    0.005286620    0.005286620    0.005286620
    0.090090090    0.006348720    0.006348720    0.006348720
    0.105105105    0.007413438    0.007413438    0.007413438
    0.120120120    0.008481225    0.008481225    0.008481225
    0.135135135    0.009552535    0.009552535    0.009552535
    0.150150150    0.010627830    0.010627830    0.010627830
    0.165165165    0.011707579    0.011707579    0.011707579
    0.180180180    0.012792260    0.012792260    0.012792260
    0.195195195    0.013882362    0.013882362    0.013882362
    0.210210210    0.014978382    0.014978382    0.014978382
    0.225225225    0.016080831    0.016080831    0.016080831
    0.240240240    0.017190233    0.017190233    0.017190233
    0.255255255    0.018307128    0.018307128    0.018307128
    0.270270270    0.019432068    0.019432068    0.019432068
    0.285285285    0.020565625    0.020565625    0.020565625
    0.300300300    0.021708390    0.021708390    0.021708390
    0.315315315    0.022860975    0.022860975    0.022860975
    0.330330330    0.024024011    0.024024011    0.024024011
    0.345345345    0.025198158    0.025198158    0.025198158
    0.360360360    0.026384100    0.026384100    0.026384100
    0.375375375    0.027582549    0.027582549    0.027582549
    0.390390390    0.028794250    0.028794250    0.028794250
    0.405405405    0.030019981    0.030019981    0.030019981
    0.420420420    0.031260558    0.031260558    0.031260558
    0.435435435    0.032516836    0.032516836    0.032516836
    0.450450450    0.033789715    0.033789715    0.033789715
    0.465465465    0.035080140    0.035080140    0.035080140
    0.480480480    0.036389112    0.036389112    0.036389112
    0.495495495    0.037717686    0.037717686    0.037717686
    0.510510511    0.039066981    0.039066981    0.039066981
    0.525525526    0.040438182    0.040438182    0.040438182
    0.540540541    0.041832550    0.041832550    0.041832550
    0.555555556    0.043251428    0.043251428    0.043251428
    0.570570571    0.044696249    0.044696249    0.044696249
    0.585585586    0.046168545    0.046168545    0.046168545
    0.600600601    0.047669958    0.047669958    0.047669958
    0.615615616    0.049202251    0.049202251    0.049202251
    0.630630631    0.050767324    0.050767324    0.050767324
    0.645645646    0.052367223    0.052367223    0.052367223
    0.660660661    0.054004164    0.054004164    0.054004164
    0.675675676    0.055680548    0.055680548    0.055680548
    0.690690691    0.057398986    0.057398986    0.057398986
    0.705705706    0.059162322    0.059162322    0.059162322
    0.720720721    0.060973667    0.060973667    0.060973667
    0.735735736    0.062836428    0.062836428    0.062836428
    0.750750751    0.064754356    0.064754356    0.064754356
    0.765765766    0.066731585    0.066731585    0.066731585
    0.780780781    0.068772693    0.068772693    0.068772693
    0.795795796    0.070882765    0.070882765    0.070882765
    0.810810811    0.073067471    0.073067471    0.073067471
    0.825825826    0.075333160    0.075333160    0.075333160
    0.840840841    0.077686968    0.077686968    0.077686968
    0.855855856    0.080136957    0.080136957    0.080136957
    0.870870871    0.082692273    0.082692273    0.082692273
    0.885885886    0.085363350    0.085363350    0.085363350
    0.900900901    0.088162151    0.088162151    0.088162151
    0.915915916    0.091102479    0.091102479    0.091102479
    0.930930931    0.094200355    0.094200355    0.094200355
    0.945945946    0.097474505    0.097474505    0.097474505
    0.960960961    0.100946973    0.100946973    0.100946973
    0.975975976    0.104643920    0.104643920    0.104643920
    0.990990991    0.108596662    0.108596662    0.108596662
    1.006006006    0.112843035    0.112843035    0.112843035
    1.021021021    0.117429233    0.117429233    0.117429233
    1.036036036    0.122412283    0.122412283    0.122412283
    1.051051051    0.127863475    0.127863475    0.127863475
    1.066066066    0.133873141    0.133873141    0.133873141
    1.081081081    0.140557481    0.140557481    0.140557481
    1.096096096    0.148068462    0.148068462    0.148068462
    1.111111111    0.156608479    0.156608479    0.156608479
    1.126126126    0.166452483    0.166452483    0.166452483
    1.141141141    0.177982035    0.177982035    0.177982035
    1.156156156    0.191738496    0.191738496    0.191738496
    1.171171171    0.208506592    0.208506592    0.208506592
    1.186186186    0.229443380    0.229443380    0.229443380
    1.201201201    0.256261929    0.256261929    0.256261929
    1.216216216    0.291422203    0.291422203    0.291422203
    1.231231231    0.338024712    0.338024712    0.338024712
    1.246246246    0.398286401    0.398286401    0.398286401
    1.261261261    0.468380031    0.468380031    0.468380031
    1.276276276    0.532193038    0.532193038    0.532193038
    1.291291291    0.573027618    0.573027618    0.573027618
    1.306306306    0.598550678    0.598550678    0.598550678
    1.321321321    0.628037225    0.628037225    0.628037225
    1.336336336    0.672467111    0.672467111    0.672467111
    1.351351351    0.741761561    0.741761561    0.741761561
