# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    14.644068200   14.644068200   14.644068200
    0.000000000   10.157348058   10.157348058   10.157348058
    0.015015015   10.157506310   10.157506310   10.157506310
    0.030030030   10.157981131   10.157981131   10.157981131
    0.045045045   10.158772714   10.158772714   10.158772714
    0.060060060   10.159881381   10.159881381   10.159881381
    0.075075075   10.161307585   10.161307585   10.161307585
    0.090090090   10.163051910   10.163051909   10.163051910
    0.105105105   10.165115068   10.165115068   10.165115068
    0.120120120   10.167497910   10.167497909   10.167497910
    0.135135135   10.170201416   10.170201416   10.170201416
    0.150150150   10.173226706   10.173226706   10.173226706
    0.165165165   10.176575038   10.176575038   10.176575038
    0.180180180   10.180247811   10.180247811   10.180247811
    0.195195195   10.184246568   10.184246568   10.184246568
    0.210210210   10.188572997   10.188572997   10.188572997
    0.225225225   10.193228939   10.193228939   10.193228939
    0.240240240   10.198216387   10.198216387   10.198216387
    0.255255255   10.203537493   10.203537493   10.203537493
    0.270270270   10.209194570   10.209194570   10.209194570
    0.285285285   10.215190101   10.215190101   10.215190101
    0.300300300   10.221526740   10.221526739   10.221526740
    0.315315315   10.228207317   10.228207317   10.228207317
    0.330330330   10.235234852   10.235234852   10.235234852
    0.345345345   10.242612551   10.242612551   10.242612551
    0.360360360   10.250343824   10.250343824   10.250343824
    0.375375375   10.258432285   10.258432285   10.258432285
    0.390390390   10.266881764   10.266881764   10.266881764
    0.405405405   10.275696318   10.275696318   10.275696318
    0.420420420   10.284880238   10.284880238   10.284880238
    0.435435435   10.294438063   10.294438063   10.294438063
    0.450450450   10.304374590   10.304374590   10.304374590
    0.465465465   10.314694891   10.314694891   10.314694891
    0.480480480   10.325404322   10.325404322   10.325404322
    0.495495495   10.336508544   10.336508544   10.336508544
    0.510510511   10.348013537   10.348013537   10.348013537
    0.525525526   10.359925619   10.359925619   10.359925619
    0.540540541   10.372251470   10.372251470   10.372251470
    0.555555556   10.384998149   10.384998149   10.384998149
    0.570570571   10.398173123   10.398173123   10.398173123
    0.585585586   10.411784295   10.411784295   10.411784295
    0.600600601   10.425840029   10.425840029   10.425840029
    0.615615616   10.440349187   10.440349187   10.440349187
    0.630630631   10.455321165   10.455321165   10.455321165
    0.645645646   10.470765932   10.470765932   10.470765933
    0.660660661   10.486694079   10.486694079   10.486694079
    0.675675676   10.503116862   10.503116862   10.503116862
    0.690690691   10.520046264   10.520046264   10.520046264
    0.705705706   10.537495054   10.537495054   10.537495054
    0.720720721   10.555476859   10.555476859   10.555476859
    0.735735736   10.574006242   10.574006242   10.574006242
    0.750750751   10.593098787   10.593098787   10.593098788
    0.765765766   10.612771207   10.612771207   10.612771207
    0.780780781   10.633041450   10.633041450   10.633041450
    0.795795796   10.653928834   10.653928834   10.653928834
    0.810810811   10.675454191   10.675454191   10.675454191
    0.825825826   10.697640040   10.697640040   10.697640040
    0.840840841   10.720510784   10.720510784   10.720510784
    0.855855856   10.744092932   10.744092932   10.744092932
    0.870870871   10.768415367   10.768415366   10.768415367
    0.885885886   10.793509648   10.793509647   10.793509648
    0.900900901   10.819410375   10.819410375   10.819410375
    0.915915916   10.846155613   10.846155613   10.846155613
    0.930930931   10.873787391   10.873787391   10.873787391
    0.945945946   10.902352301   10.902352301   10.902352301
    0.960960961   10.931902217   10.931902217   10.931902217
    0.975975976   10.962495151   10.962495151   10.962495151
    0.990990991   10.994196292   10.994196291   10.994196292
    1.006006006   11.027079269   11.027079268   11.027079269
    1.021021021   11.061227683   11.061227683   11.061227683
    1.036036036   11.096736979   11.096736979   11.096736979
    1.051051051   11.133716721   11.133716721   11.133716721
    1.066066066   11.172293345   11.172293345   11.172293345
    1.081081081   11.212613436   11.212613436   11.212613436
    1.096096096   11.254847489   11.254847489   11.254847489
    1.111111111   11.299193900   11.299193900   11.299193900
    1.126126126   11.345882362   11.345882362   11.345882362
    1.141141141   11.395174550   11.395174550   11.395174550
    1.156156156   11.447356750   11.447356750   11.447356750
    1.171171171   11.502711559   11.502711559   11.502711559
    1.186186186   11.561437526   11.561437526   11.561437526
    1.201201201   11.623442994   11.623442994   11.623442994
    1.216216216   11.687849316   11.687849316   11.687849316
    1.231231231   11.751906059   11.751906059   11.751906059
    1.246246246   11.809200837   11.809200837   11.809200837
    1.261261261   11.849309078   11.849309078   11.849309078
    1.276276276   11.866662341   11.866662341   11.866662341
    1.291291291   11.876368963   11.876368963   11.876368963
    1.306306306   11.900982667   11.900982667   11.900982667
    1.321321321   11.943250073   11.943250073   11.943250073
    1.336336336   11.995923088   11.995923088   11.995923088
    1.351351351   12.047783375   12.047783375   12.047783375
    1.366366366   12.073537207   12.073537207   12.073537207
    1.381381381   12.050147204   12.050147204   12.050147204
    1.396396396   11.998682024   11.998682024   11.998682024
    1.411411411   11.975323567   11.975323567   11.975323567
    1.426426426   11.997601331   11.997601331   11.997601331
    1.441441441   12.035175534   12.035175534   12.035175534
    1.456456456   12.062658188   12.062658188   12.062658188
    1.471471471   12.083579797   12.083579797   12.083579797
    1.486486486   12.105064239   12.105064239   12.105064239
    1.501501502   12.130561472   12.130561472   12.130561472
    1.516516517   12.164910867   12.164910867   12.164910867
    1.531531532   12.210096210   12.210096210   12.210096210
    1.546546547   12.265833865   12.265833865   12.265833865
    1.561561562   12.319679338   12.319679338   12.319679338
    1.576576577   12.342788090   12.342788090   12.342788090
    1.591591592   12.320467407   12.320467406   12.320467407
    1.606606607   12.278361716   12.278361716   12.278361716
    1.621621622   12.261788043   12.261788043   12.261788043
    1.636636637   12.283748505   12.283748505   12.283748505
    1.651651652   12.304315283   12.304315283   12.304315283
    1.666666667   12.289109844   12.289109844   12.289109844
    1.681681682   12.255425439   12.255425439   12.255425439
    1.696696697   12.234146611   12.234146611   12.234146611
    1.711711712   12.252787764   12.252787763   12.252787764
    1.726726727   12.332339826   12.332339826   12.332339826
    1.741741742   12.456765403   12.456765403   12.456765403
    1.756756757   12.595963446   12.595963446   12.595963446
    1.771771772   12.738280855   12.738280855   12.738280855
    1.786786787   12.872944650   12.872944650   12.872944650
    1.801801802   12.965203050   12.965203050   12.965203050
    1.816816817   12.979829521   12.979829521   12.979829521
    1.831831832   12.922744007   12.922744007   12.922744007
    1.846846847   12.837793154   12.837793154   12.837793154
    1.861861862   12.755062124   12.755062124   12.755062124
    1.876876877   12.687865240   12.687865240   12.687865240
    1.891891892   12.647258335   12.647258335   12.647258335
    1.906906907   12.636570602   12.636570602   12.636570602
    1.921921922   12.681468950   12.681468950   12.681468950
    1.936936937   12.796398060   12.796398060   12.796398060
    1.951951952   12.944311508   12.944311508   12.944311508
    1.966966967   13.071424169   13.071424169   13.071424169
    1.981981982   13.148817652   13.148817651   13.148817651
    1.996996997   13.183734463   13.183734463   13.183734463
    2.012012012   13.218161903   13.218161902   13.218161903
    2.027027027   13.301025760   13.301025759   13.301025760
    2.042042042   13.441793478   13.441793478   13.441793478
    2.057057057   13.608254574   13.608254574   13.608254574
    2.072072072   13.754126899   13.754126899   13.754126899
    2.087087087   13.840247203   13.840247203   13.840247203
    2.102102102   13.849360906   13.849360906   13.849360906
    2.117117117   13.793040339   13.793040339   13.793040339
    2.132132132   13.703984090   13.703984090   13.703984090
    2.147147147   13.621168001   13.621168001   13.621168001
    2.162162162   13.574927139   13.574927139   13.574927139
    2.177177177   13.586372597   13.586372597   13.586372597
    2.192192192   13.664107700   13.664107700   13.664107700
    2.207207207   13.790249052   13.790249051   13.790249052
    2.222222222   13.921797574   13.921797573   13.921797574
    2.237237237   14.038166914   14.038166914   14.038166914
    2.252252252   14.168762727   14.168762727   14.168762727
    2.267267267   14.355551541   14.355551541   14.355551541
    2.282282282   14.602157598   14.602157598   14.602157598
    2.297297297   14.861382010   14.861382010   14.861382010
    2.312312312   15.078194101   15.078194101   15.078194101
    2.327327327   15.221269281   15.221269281   15.221269282
    2.342342342   15.261491652   15.261491651   15.261491652
    2.357357357   15.182949110   15.182949110   15.182949110
    2.372372372   15.024607585   15.024607585   15.024607585
    2.387387387   14.879482531   14.879482531   14.879482531
    2.402402402   14.843300390   14.843300390   14.843300390
    2.417417417   14.945810713   14.945810713   14.945810713
    2.432432432   15.133742446   15.133742446   15.133742446
    2.447447447   15.340441134   15.340441134   15.340441134
    2.462462462   15.563445645   15.563445645   15.563445645
    2.477477477   15.836813695   15.836813695   15.836813695
    2.492492492   16.163823151   16.163823151   16.163823151
    2.507507508   16.505379097   16.505379097   16.505379097
    2.522522523   16.799418460   16.799418460   16.799418460
    2.537537538   16.977998662   16.977998662   16.977998662
    2.552552553   17.005541795   17.005541795   17.005541795
    2.567567568   16.929840676   16.929840676   16.929840676
    2.582582583   16.860805854   16.860805854   16.860805854
    2.597597598   16.896953163   16.896953163   16.896953163
    2.612612613   17.071299872   17.071299872   17.071299872
    2.627627628   17.318410325   17.318410325   17.318410325
    2.642642643   17.563659656   17.563659656   17.563659656
    2.657657658   17.806369989   17.806369989   17.806369989
    2.672672673   18.037581578   18.037581578   18.037581578
    2.687687688   18.208753035   18.208753035   18.208753035
    2.702702703   18.293748018   18.293748018   18.293748018
    2.717717718   18.271751050   18.271751050   18.271751050
    2.732732733   18.105254350   18.105254350   18.105254350
    2.747747748   17.771745768   17.771745768   17.771745768
    2.762762763   17.289535057   17.289535057   17.289535057
    2.777777778   16.685097148   16.685097148   16.685097148
    2.792792793   16.007827327   16.007827327   16.007827327
    2.807807808   15.379793536   15.379793536   15.379793536
    2.822822823   14.923750756   14.923750756   14.923750756
    2.837837838   14.640299751   14.640299751   14.640299751
    2.852852853   14.413712811   14.413712811   14.413712811
    2.867867868   14.131314977   14.131314977   14.131314977
    2.882882883   13.755933049   13.755933049   13.755933049
    2.897897898   13.340967531   13.340967531   13.340967531
    2.912912913   12.998351058   12.998351058   12.998351058
    2.927927928   12.805417684   12.805417684   12.805417684
    2.942942943   12.750206008   12.750206008   12.750206008
    2.957957958   12.756362684   12.756362684   12.756362684
    2.972972973   12.782115692   12.782115692   12.782115692
    2.987987988   12.784814662   12.784814662   12.784814662
    3.003003003   12.657613157   12.657613157   12.657613157
    3.018018018   12.336819280   12.336819280   12.336819280
    3.033033033   11.892526466   11.892526466   11.892526466
    3.048048048   11.475146865   11.475146865   11.475146865
    3.063063063   11.157372182   11.157372182   11.157372182
    3.078078078   10.944151571   10.944151571   10.944151571
    3.093093093   10.872854291   10.872854291   10.872854291
    3.108108108   10.955345348   10.955345348   10.955345348
    3.123123123   11.124490180   11.124490180   11.124490180
    3.138138138   11.296029634   11.296029634   11.296029634
    3.153153153   11.411975838   11.411975838   11.411975838
    3.168168168   11.431630734   11.431630734   11.431630734
    3.183183183   11.343856380   11.343856380   11.343856380
    3.198198198   11.171029533   11.171029533   11.171029533
    3.213213213   10.952146855   10.952146855   10.952146855
    3.228228228   10.725978626   10.725978626   10.725978627
    3.243243243   10.532416150   10.532416150   10.532416150
    3.258258258   10.406215196   10.406215196   10.406215196
    3.273273273   10.367302622   10.367302622   10.367302622
    3.288288288   10.405641291   10.405641291   10.405641291
