# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000   10.107524873   10.107524873   10.107524873
    0.015015015   10.106643250   10.106643250   10.106643250
    0.030030030   10.105117608   10.105117608   10.105117608
    0.045045045   10.103272751   10.103272751   10.103272751
    0.060060060   10.101113334   10.101113334   10.101113334
    0.075075075   10.098640247   10.098640247   10.098640247
    0.090090090   10.095854488   10.095854488   10.095854488
    0.105105105   10.092757180   10.092757180   10.092757180
    0.120120120   10.089349562   10.089349562   10.089349562
    0.135135135   10.085632993   10.085632993   10.085632993
    0.150150150   10.081608946   10.081608946   10.081608946
    0.165165165   10.077279008   10.077279008   10.077279008
    0.180180180   10.072644874   10.072644874   10.072644874
    0.195195195   10.067708347   10.067708347   10.067708347
    0.210210210   10.062471336   10.062471336   10.062471336
    0.225225225   10.056935847   10.056935847   10.056935847
    0.240240240   10.051103987   10.051103987   10.051103987
    0.255255255   10.044977956   10.044977956   10.044977956
    0.270270270   10.038560043   10.038560043   10.038560043
    0.285285285   10.031852628   10.031852628   10.031852628
    0.300300300   10.024858173   10.024858173   10.024858173
    0.315315315   10.017579218   10.017579218   10.017579218
    0.330330330   10.010018383   10.010018383   10.010018383
    0.345345345   10.002178359   10.002178359   10.002178359
    0.360360360    9.994061907    9.994061907    9.994061907
    0.375375375    9.985671851    9.985671851    9.985671851
    0.390390390    9.977011079    9.977011079    9.977011079
    0.405405405    9.968082537    9.968082537    9.968082537
    0.420420420    9.958889225    9.958889225    9.958889225
    0.435435435    9.949434192    9.949434193    9.949434193
    0.450450450    9.939720538    9.939720538    9.939720538
    0.465465465    9.929751402    9.929751402    9.929751402
    0.480480480    9.919529966    9.919529966    9.919529966
    0.495495495    9.909059450    9.909059450    9.909059450
    0.510510511    9.898343105    9.898343105    9.898343105
    0.525525526    9.887384214    9.887384214    9.887384214
    0.540540541    9.876186085    9.876186085    9.876186085
    0.555555556    9.864752052    9.864752052    9.864752052
    0.570570571    9.853085471    9.853085471    9.853085471
    0.585585586    9.841189713    9.841189713    9.841189713
    0.600600601    9.829068167    9.829068167    9.829068167
    0.615615616    9.816724234    9.816724234    9.816724234
    0.630630631    9.804161325    9.804161325    9.804161325
    0.645645646    9.791382859    9.791382859    9.791382859
    0.660660661    9.778392258    9.778392258    9.778392258
    0.675675676    9.765192950    9.765192950    9.765192950
    0.690690691    9.751788362    9.751788362    9.751788362
    0.705705706    9.738181920    9.738181920    9.738181920
    0.720720721    9.724377046    9.724377046    9.724377046
    0.735735736    9.710377157    9.710377157    9.710377157
    0.750750751    9.696185662    9.696185662    9.696185662
    0.765765766    9.681805962    9.681805962    9.681805962
    0.780780781    9.667241446    9.667241446    9.667241446
    0.795795796    9.652495493    9.652495493    9.652495493
    0.810810811    9.637571465    9.637571465    9.637571465
    0.825825826    9.622472712    9.622472712    9.622472712
    0.840840841    9.607202565    9.607202565    9.607202565
    0.855855856    9.591764340    9.591764340    9.591764340
    0.870870871    9.576161331    9.576161331    9.576161331
    0.885885886    9.560396814    9.560396814    9.560396814
    0.900900901    9.544474044    9.544474044    9.544474044
    0.915915916    9.528396253    9.528396253    9.528396253
    0.930930931    9.512166651    9.512166651    9.512166651
    0.945945946    9.495788423    9.495788423    9.495788423
    0.960960961    9.479264730    9.479264730    9.479264730
    0.975975976    9.462598710    9.462598710    9.462598710
    0.990990991    9.445793472    9.445793472    9.445793472
