# omega(eV)     n     kappa     alpha(1/m)
0.00000000     3.40049565     0.00000000     0.00000000
0.01501501     3.40052771     0.00021386     32.54555127
0.03003003     3.40062388     0.00042781     130.21302626
0.04504504     3.40078422     0.00064198     293.09602015
0.06006006     3.40100880     0.00085645     521.35159528
0.07507508     3.40129773     0.00107133     815.19764858
0.09009009     3.40165114     0.00128673     1174.91870176
0.10510511     3.40206921     0.00150275     1600.86444683
0.12012012     3.40255214     0.00171950     2093.44870317
0.13513513     3.40310016     0.00193710     2653.16023746
0.15015015     3.40371353     0.00215565     3280.54992595
0.16516517     3.40439257     0.00237526     3976.25127205
0.18018018     3.40513760     0.00259607     4740.96410607
0.19519519     3.40594899     0.00281818     5575.47295286
0.21021021     3.40682715     0.00304173     6480.64559261
0.22522523     3.40777252     0.00326685     7457.43537172
0.24024024     3.40878560     0.00349367     8506.88456162
0.25525526     3.40986691     0.00372232     9630.13594654
0.27027027     3.41101700     0.00395297     10828.43137502
0.28528528     3.41223651     0.00418576     12103.11809658
0.30030030     3.41352608     0.00442085     13455.67386187
0.31531531     3.41488642     0.00465842     14887.68200437
0.33033033     3.41631829     0.00489864     16400.88007490
0.34534535     3.41782250     0.00514169     17997.12186618
0.36036036     3.41939992     0.00538779     19678.44938648
0.37537538     3.42105149     0.00563713     21447.04886660
0.39039039     3.42277819     0.00588996     23305.29642124
0.40540540     3.42458108     0.00614650     25255.77984399
0.42042042     3.42646131     0.00640702     27301.29735294
0.43543543     3.42842008     0.00667179     29444.88544396
0.45045045     3.43045869     0.00694112     31689.85685304
0.46546547     3.43257853     0.00721533     34039.82633895
0.48048048     3.43478108     0.00749477     36498.70977588
0.49549550     3.43706794     0.00777982     39070.82189543
0.51051051     3.43944080     0.00807089     41760.87488777
0.52552553     3.44190150     0.00836844     44574.03852717
0.54054054     3.44445200     0.00867298     47516.00815777
0.55555556     3.44709442     0.00898504     50593.07679536
0.57057057     3.44983103     0.00930525     53812.20643766
0.58558559     3.45266431     0.00963427     57181.12780242
0.60060060     3.45559692     0.00997287     60708.46759478
0.61561562     3.45863174     0.01032188     64403.87543131
0.63063063     3.46177191     0.01068227     68278.17985098
0.64564565     3.46502085     0.01105510     72343.63909901
0.66066066     3.46838229     0.01144160     76614.11892869
0.67567568     3.47186033     0.01184318     81105.44610817
0.69069069     3.47545947     0.01226143     85835.75262944
0.70570571     3.47918467     0.01269822     90825.95658633
0.72072072     3.48304142     0.01315571     96100.34344621
0.73573574     3.48703583     0.01363645     101687.30808601
0.75075075     3.49117473     0.01414343     107620.28302019
0.76576577     3.49546576     0.01468023     113938.99007047
0.78078078     3.49991756     0.01525114     120691.04506058
0.79579580     3.50453989     0.01586138     127934.06098983
0.81081081     3.50934390     0.01651734     135738.54570057
0.82582583     3.51434235     0.01722695     144191.71586045
0.84084084     3.51954996     0.01800015     153402.88769922
0.85585586     3.52498377     0.01884963     163511.04097968
0.87087087     3.53066363     0.01979176     174695.46438884
0.88588589     3.53661275     0.02084801     187191.41560236
0.90090090     3.54285827     0.02204712     201313.23174104
0.91591592     3.54943184     0.02342820     217489.35657319
0.93093093     3.55636987     0.02504567     236316.31532304
0.94594595     3.56371286     0.02697689     258643.60893235
0.96096096     3.57150232     0.02933422     285708.88931040
0.97597598     3.57977157     0.03228415     319353.70936801
0.99099099     3.58852171     0.03607655     362358.33384201
1.00600601     3.59766225     0.04108408     418907.07938171
1.02102102     3.60687173     0.04783190     494989.34062843
1.03603604     3.61530711     0.05691591     597657.04429496
1.05105105     3.62119264     0.06847489     729455.28274986
1.06606607     3.62207251     0.08072133     872199.78872198
1.08108108     3.61772798     0.08890879     974196.33015990
1.09609610     3.61341649     0.08969514     996462.77416490
1.11111111     3.61462711     0.08646280     973711.57084448
1.12612613     3.62099446     0.08447714     964205.80352859
1.14114114     3.62932902     0.08538150     987521.74616919
1.15615616     3.63807110     0.08798368     1031008.28220235
1.17117117     3.64812708     0.09189468     1090823.00112718
1.18618619     3.65974581     0.09918076     1192405.10209464
1.20120120     3.67038398     0.11203674     1364016.89868767
1.21621622     3.67522863     0.13023644     1605413.15396139
1.23123123     3.66950206     0.14856656     1853976.50266164
1.24624625     3.65498665     0.15733519     1987344.91593855
1.26126126     3.64278709     0.15255071     1950126.61696312
1.27627628     3.64151864     0.14204710     1837471.42166958
1.29129129     3.64924722     0.13534019     1771309.82359573
1.30630631     3.65911635     0.13562719     1795706.33796066
1.32132132     3.66553897     0.14006130     1875729.16312345
1.33633634     3.66824288     0.14314584     1938822.38007755
1.35135135     3.67133611     0.14330758     1962822.27160841
1.36636637     3.67611745     0.14285539     1978369.03731496
1.38138138     3.68187292     0.14178941     1985184.71972105
1.39639640     3.69033572     0.14020962     1984403.87959345
1.41141141     3.70165187     0.14119189     2019793.18524574
1.42642643     3.71235580     0.14576963     2107463.01304902
1.44144144     3.72075515     0.15065929     2201083.17496506
1.45645646     3.73026873     0.15399214     2273210.08939906
1.47147147     3.74333894     0.15972354     2382123.65131095
1.48648649     3.75632143     0.17212644     2593295.98760933
1.50150150     3.76268494     0.19013619     2893570.66142318
1.51651652     3.75882438     0.20683743     3179214.24243182
1.53153153     3.74863596     0.21405672     3322755.05549814
1.54654655     3.74221129     0.21028865     3296266.72880760
1.56156156     3.74607299     0.20395106     3227963.41398893
1.57657658     3.75602197     0.20416700     3262452.02007752
1.59159159     3.76295128     0.21160136     3413450.53327448
1.60660661     3.76224546     0.21916347     3568792.00912456
1.62162162     3.75746777     0.22037846     3622114.64105285
1.63663664     3.75393556     0.21454573     3558899.01475121
1.65165165     3.75562522     0.20312444     3400354.21388489
1.66666667     3.76536507     0.19060414     3219768.11856370
1.68168168     3.78066385     0.18182586     3099152.67312955
1.69669670     3.79750098     0.17625558     3031032.60094084
1.71171171     3.81648929     0.17140610     2973722.35344384
1.72672673     3.84018176     0.16890232     2955988.58798519
1.74174174     3.86768513     0.17259571     3046893.48117653
1.75675676     3.89528284     0.18446566     3284510.69478216
1.77177177     3.91886282     0.20368404     3657701.90004404
1.78678679     3.93608347     0.22744192     4118952.35024174
1.80180180     3.94620625     0.25379789     4634880.51435339
1.81681682     3.94681151     0.28046474     5164555.28717424
1.83183183     3.93715850     0.30093039     5587212.33593000
1.84684685     3.92321325     0.30912831     5786463.13306763
1.86186186     3.91365883     0.30620862     5778410.48009653
1.87687688     3.91201312     0.29829679     5674503.70817827
1.89189189     3.91726985     0.28997701     5560366.40561037
1.90690691     3.92681898     0.28347300     5478790.89101577
1.92192192     3.93845730     0.27838806     5422878.45597689
1.93693694     3.95164279     0.27354972     5370259.54615662
1.95195195     3.96758565     0.26798869     5301870.44911724
1.96696697     3.98832045     0.26351638     5253493.54979357
1.98198198     4.01226114     0.26373516     5297991.52409544
1.99699700     4.03458547     0.26811889     5426856.60146327
2.01201201     4.05467876     0.27114706     5529412.45426508
2.02702703     4.07834574     0.27077532     5563039.50320463
2.04204204     4.11004951     0.27170079     5623401.62469640
2.05705706     4.14895649     0.28062990     5850915.24583826
2.07207207     4.18955097     0.30251964     6353337.99845993
2.08708709     4.22321139     0.33825715     7155353.31505854
2.10210210     4.24040198     0.38197575     8138289.29276196
2.11711712     4.23806469     0.41946094     9000775.59455230
2.13213213     4.22708870     0.43847188     9475440.00980618
2.14714715     4.22240625     0.44082080     9593286.45057781
2.16216216     4.23010196     0.43642004     9563931.87080529
2.17717718     4.24764568     0.43287374     9552092.85529913
2.19219219     4.27080539     0.43110566     9578684.55857239
2.20720721     4.30000083     0.42936296     9605306.09563966
2.22222222     4.33825835     0.42956936     9675297.13080506
2.23723724     4.38567632     0.43655625     9899101.39216160
2.25225225     4.43944207     0.45374191     10357845.97323510
2.26726727     4.49645276     0.48318382     11103467.54574496
2.28228228     4.55227054     0.52633236     12175111.80025933
2.29729730     4.60130481     0.58134900     13536227.87885307
2.31231231     4.64137998     0.64246380     15057007.86346426
2.32732733     4.67619193     0.70624999     16659403.58730198
2.34234234     4.70852606     0.77514610     18402526.78880920
2.35735736     4.73724894     0.85235034     20365125.24555440
2.37237237     4.75911014     0.94084869     22622790.19674227
2.38738739     4.76596505     1.04198780     25213263.03461045
2.40240240     4.74800172     1.14773130     27946633.72027788
2.41741742     4.70548285     1.24339163     30465135.26543624
2.43243243     4.64904091     1.32022459     32548586.20298328
2.44744745     4.58935314     1.38010958     34235010.96811619
2.46246246     4.52898776     1.42858315     35654854.35357442
2.47747748     4.46680921     1.46556918     36800995.17882959
2.49249249     4.40635989     1.48829975     37598264.03017496
2.50750751     4.35465135     1.49784733     38067409.00939237
2.52252252     4.31777255     1.50083636     38371777.75811940
2.53753754     4.29640114     1.50770766     38776905.00284926
2.55255255     4.28407668     1.52819769     39536457.67682078
2.56756757     4.26760517     1.56639743     40763115.47340245
2.58258258     4.23337034     1.61428450     42254972.02234301
2.59759760     4.17963134     1.65715478     43629323.03175303
2.61261261     4.11281224     1.68765390     44689133.25867811
2.62762763     4.03511682     1.70212074     45331251.57029449
2.64264264     3.95159004     1.68940973     45249830.40602780
2.65765766     3.88328915     1.64392727     44281789.36780303
2.67267267     3.84998604     1.58262118     42871262.36177365
2.68768769     3.85091739     1.52989136     41675701.69699394
2.70270270     3.87153779     1.49970544     41081639.67568450
2.71771772     3.89603325     1.49311254     41128267.31905894
2.73273273     3.91571298     1.50364487     41647214.58402335
2.74774775     3.92834683     1.52747075     42539589.01787258
2.76276276     3.92854425     1.56329091     43775077.25193561
2.77777778     3.90974082     1.60296674     45130021.04717252
2.79279279     3.87441788     1.63502018     46281279.61087838
2.80780781     3.83061889     1.65562608     47116515.07475810
2.82282282     3.78151612     1.66575419     47658246.56777221
2.83783784     3.72815399     1.66214997     47808080.51742362
2.85285285     3.67780651     1.64053645     47436078.74734580
2.86786787     3.64081176     1.60415522     46628243.08007158
2.88288288     3.62268186     1.56250238     45655301.06421694
2.89789790     3.62170102     1.52622969     44827704.76124074
2.91291291     3.62978688     1.50096585     44314090.11432609
2.92792793     3.64086258     1.48500043     44068725.12902650
2.94294294     3.65312062     1.47781903     44080511.25430889
2.95795796     3.66151757     1.47924585     44348188.38109822
2.97297297     3.66238590     1.48282307     44681096.20608468
2.98798799     3.66005068     1.48220983     44888186.79533142
3.00300300     3.66217199     1.47811392     44989088.98324236
3.01801802     3.67283916     1.47933985     45251534.40093593
3.03303303     3.68326235     1.49618649     45994552.17652182
3.04804805     3.67780214     1.52338410     47062474.07224371
3.06306306     3.65525852     1.54501186     47965754.49751981
3.07807808     3.62544866     1.55523923     48519951.85290643
