# omega (eV)     <Re(Eps)>     <Im(Eps)>
0.00000000    11.56337069    0.00000000
0.01501501    11.56358863    0.00145445
0.03003003    11.56424258    0.00290967
0.04504504    11.56533288    0.00436645
0.06006006    11.56686010    0.00582558
0.07507508    11.56882507    0.00728783
0.09009009    11.57122883    0.00875401
0.10510511    11.57407267    0.01022493
0.12012012    11.57735811    0.01170140
0.13513513    11.58108694    0.01318428
0.15015015    11.58526118    0.01467440
0.16516517    11.58988312    0.01617266
0.18018018    11.59495531    0.01767994
0.19519519    11.60048055    0.01919717
0.21021021    11.60646196    0.02072531
0.22522523    11.61290290    0.02226535
0.24024024    11.61980707    0.02381831
0.25525526    11.62717846    0.02538526
0.27027027    11.63502137    0.02696731
0.28528528    11.64334046    0.02856561
0.30030030    11.65214073    0.03018140
0.31531531    11.66142754    0.03181594
0.33033033    11.67120664    0.03347060
0.34534535    11.68148420    0.03514677
0.36036036    11.69226681    0.03684599
0.37537538    11.70356151    0.03856984
0.39039039    11.71537584    0.04032002
0.40540540    11.72771782    0.04209836
0.42042042    11.74059607    0.04390680
0.43543543    11.75401975    0.04574742
0.45045045    11.76799867    0.04762247
0.46546547    11.78254332    0.04953439
0.48048048    11.79766493    0.05148578
0.49549550    11.81337549    0.05347951
0.51051051    11.82968788    0.05551869
0.52552553    11.84661589    0.05760671
0.54054054    11.86417435    0.05974730
0.55555556    11.88237919    0.06194457
0.57057057    11.90124758    0.06420306
0.58558559    11.92079805    0.06652780
0.60060060    11.94105061    0.06892441
0.61561562    11.96202695    0.07139917
0.63063063    11.98375062    0.07395913
0.64564565    12.00624725    0.07661229
0.66066066    12.02954481    0.07936770
0.67567568    12.05367392    0.08223571
0.69069069    12.07866821    0.08522820
0.70570571    12.10456473    0.08835890
0.72072072    12.13140447    0.09164379
0.73573574    12.15923296    0.09510159
0.75075075    12.18810096    0.09875439
0.76576577    12.21806538    0.10262849
0.78078078    12.24919030    0.10675549
0.79579580    12.28154824    0.11117369
0.81081081    12.31522176    0.11593006
0.82582583    12.35030538    0.12108278
0.84084084    12.38690790    0.12670488
0.85585586    12.42515525    0.13288931
0.87087087    12.46519395    0.13975607
0.88588589    12.50719510    0.14746268
0.90090090    12.55135865    0.15621961
0.91591592    12.59791753    0.16631358
0.93093093    12.64713939    0.17814336
0.94594595    12.69932163    0.19227579
0.96096096    12.75476835    0.20953444
0.97597598    12.81372222    0.23113974
0.99099099    12.87618657    0.25892298
1.00600601    12.94148578    0.29561331
1.02102102    13.00723576    0.34504706
1.03603604    13.06720609    0.41153696
1.05105105    13.10834736    0.49592153
1.06606607    13.11289334    0.58475705
1.08108108    13.08005095    0.64329563
1.09609610    13.04873354    0.64821181
1.11111111    13.05805332    0.62506159
1.12612613    13.10446447    0.61178248
1.14114114    13.16473910    0.61975511
1.15615616    13.22782023    0.64018178
1.17117117    13.30038656    0.67048697
1.18618619    13.38390258    0.72595275
1.20120120    13.45916633    0.82243572
1.21621622    13.49034392    0.95729735
1.23123123    13.44317333    1.09033062
1.24624625    13.33417306    1.15011601
1.26126126    13.24662605    1.11141950
1.27627628    13.24048061    1.03453432
1.29129129    13.29868832    0.98777963
1.30630631    13.37073772    0.99255134
1.32132132    13.41655878    1.02680033
1.33633634    13.43551511    1.05018739
1.35135135    13.45817177    1.05226061
1.36636637    13.49343187    1.05030635
1.38138138    13.53608395    1.04410119
1.39639640    13.59891899    1.03484116
