# omega (eV)     <Re(Eps)>     <Im(Eps)>
0.00000000    13.66084999    0.00000000
0.01501501    13.66139172    0.00363175
0.03003003    13.66301781    0.00726978
0.04504504    13.66573098    0.01092042
0.06006006    13.66953582    0.01459013
0.07507508    13.67443878    0.01828558
0.09009009    13.68044829    0.02201368
0.10510511    13.68757481    0.02578168
0.12012012    13.69583090    0.02959728
0.13513513    13.70523144    0.03346868
0.15015015    13.71579369    0.03740475
0.16516517    13.72753753    0.04141510
0.18018018    13.74048567    0.04551028
0.19519519    13.75466392    0.04970197
0.21021021    13.77010150    0.05400316
0.22522523    13.78683143    0.05842848
0.24024024    13.80489095    0.06299446
0.25525526    13.82432210    0.06772004
0.27027027    13.84517233    0.07262699
0.28528528    13.86749527    0.07774065
0.30030030    13.89135168    0.08309070
0.31531531    13.91681056    0.08871227
0.33033033    13.94395054    0.09464737
0.34534535    13.97286153    0.10094667
0.36036036    14.00364679    0.10767203
0.37537538    14.03642546    0.11489986
0.39039039    14.07133564    0.12272563
0.40540540    14.10853821    0.13127035
0.42042042    14.14822146    0.14068958
0.43543543    14.19060658    0.15118642
0.45045045    14.23595400    0.16303065
0.46546547    14.28456993    0.17658722
0.48048048    14.33681170    0.19235963
0.49549550    14.39308764    0.21105733
0.51051051    14.45384177    0.23370183
0.52552553    14.51949929    0.26179566
0.54054054    14.59031550    0.29758952
0.55555556    14.66599141    0.34448580
0.57057057    14.74473702    0.40755384
0.58558559    14.82111080    0.49377683
0.60060060    14.88169300    0.61027173
0.61561562    14.89990069    0.75519992
0.63063063    14.84390951    0.89592926
0.64564565    14.72339999    0.96303849
0.66066066    14.62043699    0.92331481
0.67567568    14.60166730    0.83284522
0.69069069    14.65820547    0.75868413
0.70570571    14.75299179    0.72655248
0.72072072    14.85636418    0.73468492
0.73573574    14.95291126    0.76854601
0.75075075    15.04689365    0.81402366
0.76576577    15.15106883    0.87816596
0.78078078    15.25822485    0.98455565
0.79579580    15.33353760    1.14713779
0.81081081    15.32507381    1.34490616
0.82582583    15.20547839    1.49982980
0.84084084    15.04065366    1.52505845
0.85585586    14.94887836    1.43830604
0.87087087    14.96740552    1.34134370
0.88588589    15.04390978    1.30277056
0.90090090    15.10993229    1.32108484
0.91591592    15.13555731    1.34541111
0.93093093    15.15332039    1.33590835
0.94594595    15.19823697    1.31213178
0.96096096    15.25800836    1.29636266
0.97597598    15.32471462    1.27621462
0.99099099    15.41634379    1.25274501
1.00600601    15.53138653    1.24648378
1.02102102    15.65585851    1.25676258
1.03603604    15.79875030    1.27854748
1.05105105    15.96851998    1.33471131
1.06606607    16.14230447    1.45330036
1.08108108    16.27576854    1.63931233
1.09609610    16.32021874    1.86294310
1.11111111    16.25486934    2.04747515
1.12612613    16.14721552    2.11302674
1.14114114    16.10835459    2.08846411
1.15615616    16.15182807    2.07614304
1.17117117    16.20771328    2.11806731
1.18618619    16.21895438    2.18234132
1.20120120    16.17730975    2.20465107
1.21621622    16.14106962    2.13706419
1.23123123    16.18065890    2.01008499
1.24624625    16.30308594    1.88070876
1.26126126    16.49428425    1.77246312
1.27627628    16.75005493    1.70745986
1.29129129    17.05116722    1.71320977
1.30630631    17.36478265    1.80370806
1.32132132    17.65473327    1.97648343
1.33633634    17.89033409    2.21046940
1.35135135    18.06018876    2.47669189
1.36636637    18.15891726    2.75706298
1.38138138    18.16931808    3.01990882
1.39639640    18.10835694    3.20113826
1.41141141    18.05524957    3.27395365
1.42642643    18.06645996    3.29282618
1.44144144    18.11912486    3.30436909
1.45645646    18.19592282    3.29183532
1.47147147    18.32584749    3.24902377
1.48648649    18.52901991    3.20084845
1.50150150    18.81349990    3.17528834
1.51651652    19.17493973    3.21065287
1.53153153    19.58486238    3.33861319
1.54654655    20.00886935    3.57264712
1.56156156    20.40976895    3.92517015
1.57657658    20.71701823    4.39339642
1.59159159    20.85379251    4.89334333
1.60660661    20.85139668    5.28102096
1.62162162    20.85133127    5.49769583
1.63663664    20.98138351    5.60010102
1.65165165    21.30505792    5.71187237
1.66666667    21.78122042    5.97299066
1.68168168    22.28635744    6.44236342
1.69669670    22.72590043    7.07315246
1.71171171    23.09998665    7.81570608
1.72672673    23.40868239    8.70123775
1.74174174    23.57013295    9.75514344
1.75675676    23.48424437    10.92105280
1.77177177    23.09881034    12.08560488
1.78678679    22.42396193    13.10621103
1.80180180    21.58592180    13.85233944
1.81681682    20.77280090    14.35581993
1.83183183    20.02817606    14.75883177
1.84684685    19.27691819    15.12270613
1.86186186    18.44893086    15.40073251
1.87687688    17.56735176    15.48505964
1.89189189    16.76114567    15.32603033
1.90690691    16.17319242    14.98587698
1.92192192    15.88761937    14.62504210
1.93693694    15.85055425    14.45192933
1.95195195    15.85513038    14.57805769
1.96696697    15.69060695    14.93243280
1.98198198    15.25458445    15.35196472
1.99699700    14.54283826    15.64762025
2.01201201    13.68410228    15.64823191
2.02702703    12.89257897    15.32267682
2.04204204    12.33455617    14.77639285
2.05705706    12.07429157    14.18495206
2.07207207    12.04130265    13.71161833
2.08708709    12.10021377    13.39953773
2.10210210    12.17492197    13.20622522
2.11711712    12.25297743    13.09263167
2.13213213    12.34450553    13.06327216
2.14714715    12.41269306    13.15209879
2.16216216    12.38565573    13.33927692
2.17717718    12.22511497    13.56929466
2.19219219    11.90611832    13.77313130
2.20720721    11.45765685    13.84790237
2.22222222    10.98474790    13.75065217
2.23723724    10.55295745    13.51301018
2.25225225    10.20137818    13.13968467
2.26726727    10.01802439    12.66313707
2.28228228    10.04682426    12.21025055
2.29729730    10.20876117    11.89260712
2.31231231    10.39874505    11.71724667
2.32732733    10.55871482    11.64981104
2.34234234    10.65097955    11.64245944
2.35735736    10.68185094    11.63128926
2.37237237    10.69746102    11.58681295
2.38738739    10.74899259    11.51859276
2.40240240    10.86887808    11.49004405
2.41741742    11.00178385    11.57599759
2.43243243    11.05052087    11.76640855
2.44744745    10.95750160    11.99295371
2.46246246    10.70737736    12.16132095
2.47747748    10.35641772    12.16520890
2.49249249    10.04255701    11.96576340
2.50750751    9.88598724    11.64925506
2.52252252    9.89118840    11.34501468
2.53753754    9.98713209    11.11787240
2.55255255    10.10784223    10.96911885
2.56756757    10.21129517    10.86484285
2.58258258    10.30255479    10.75722860
2.59759760    10.42094208    10.63314448
2.61261261    10.59685266    10.51852069
2.62762763    10.82889392    10.45510235
2.64264264    11.08655651    10.47173859
2.65765766    11.33235531    10.57014072
2.67267267    11.54092972    10.74124282
2.68768769    11.68172838    10.97325927
2.70270270    11.72579352    11.22782001
2.71771772    11.67730685    11.45454698
2.73273273    11.55592538    11.61873639
2.74774775    11.39219387    11.67898727
2.76276276    11.26157763    11.61191029
2.77777778    11.24617927    11.46437739
2.79279279    11.36856959    11.33037249
2.80780781    11.57683908    11.28445684
2.82282282    11.79886462    11.32979587
2.83783784    12.00854558    11.43443633
2.85285285    12.20393277    11.58708108
2.86786787    12.37454796    11.77974277
2.88288288    12.52149164    11.99850968
2.89789790    12.65055515    12.24392646
2.91291291    12.76145667    12.52157838
2.92792793    12.84332963    12.84784628
2.94294294    12.85377740    13.22460233
2.95795796    12.75313178    13.60582286
2.97297297    12.55078516    13.91859210
2.98798799    12.31143358    14.12022787
3.00300300    12.09975594    14.22559387
3.01801802    11.95139695    14.27330584
3.03303303    11.87393676    14.31006368
3.04804805    11.84988536    14.36434884
3.06306306    11.87509718    14.45499310
3.07807808    11.92090104    14.62606396
3.09309309    11.91066134    14.87347923
3.10810811    11.81154852    15.12787501
3.12312312    11.65191130    15.34106395
3.13813814    11.45606518    15.49817221
3.15315315    11.24921945    15.57378946
3.16816817    11.09710352    15.56134232
3.18318318    11.05410486    15.52927753
3.19819820    11.08095958    15.55819209
3.21321321    11.10636253    15.63724052
3.22822823    11.13609284    15.71753772
3.24324324    11.21560274    15.81222354
3.25825826    11.34034337    15.98612381
3.27327327    11.43250275    16.26994774
3.28828829    11.41980248    16.60721246
3.30330330    11.30906301    16.90939715
3.31831832    11.16714027    17.13868008
