# omega (eV)     <Re(Eps)>     <Im(Eps)>
0.00000000    12.16208035    0.00000000
0.01501501    12.16370067    0.01140749
0.03003003    12.16858092    0.02297334
0.04504504    12.17677959    0.03486338
0.06006006    12.18839653    0.04725904
0.07507508    12.20357654    0.06036705
0.09009009    12.22251465    0.07443149
0.10510511    12.24546335    0.08974986
0.12012012    12.27274192    0.10669506
0.13513513    12.30474808    0.12574647
0.15015015    12.34197175    0.14753510
0.16516517    12.38500977    0.17291056
0.18018018    12.43457834    0.20304271
0.19519519    12.49151437    0.23957886
0.21021021    12.55674448    0.28489139
0.22522523    12.63117045    0.34247219
0.24024024    12.71534832    0.41756036
0.25525526    12.80866809    0.51810918
0.27027027    12.90734342    0.65610596
0.28528528    12.99969904    0.84862146
0.30030030    13.05622324    1.11529133
0.31531531    13.01470326    1.46102090
0.33033033    12.78511742    1.82515749
0.34534535    12.34636836    2.03571465
0.36036036    11.87800800    1.94696516
0.37537538    11.60212432    1.65216158
0.39039039    11.54583325    1.34314044
0.40540540    11.62326687    1.11285446
0.42042042    11.76220954    0.97123846
0.43543543    11.92551311    0.90488732
0.45045045    12.09614993    0.90224318
0.46546547    12.26386848    0.95810113
0.48048048    12.41858372    1.07108022
0.49549550    12.54984888    1.24286844
0.51051051    12.63870982    1.48487997
0.52552553    12.62991090    1.80340436
0.54054054    12.43783800    2.13458993
0.55555556    12.06011367    2.30949237
0.57057057    11.68334359    2.21432625
0.58558559    11.50034864    1.96341294
0.60060060    11.51361553    1.74154805
0.61561562    11.62312371    1.63672923
0.63063063    11.72993992    1.65398837
0.64564565    11.75860096    1.74493010
0.66066066    11.69035672    1.81963332
0.67567568    11.58400590    1.81717219
0.69069069    11.49890585    1.74459779
0.70570571    11.47122648    1.62331779
0.72072072    11.52784968    1.50018807
0.73573574    11.64634168    1.43107770
0.75075075    11.77477632    1.42870396
0.76576577    11.88428716    1.46396796
0.78078078    11.99120194    1.51591242
0.79579580    12.10819568    1.61052668
0.81081081    12.19620928    1.77532897
0.82582583    12.19720668    1.98277040
0.84084084    12.10016331    2.16211739
0.85585586    11.94758112    2.26502449
0.87087087    11.79577180    2.27791420
0.88588589    11.70653790    2.23610943
0.90090090    11.67317372    2.22021873
0.91591592    11.61736131    2.24395883
0.93093093    11.51302338    2.23676053
0.94594595    11.41679915    2.16408900
0.96096096    11.36237346    2.05550338
0.97597598    11.35032454    1.92521966
0.99099099    11.39905420    1.78387387
1.00600601    11.51527556    1.67210838
1.02102102    11.66390664    1.62067340
1.03603604    11.80915804    1.61603821
1.05105105    11.95488009    1.63730741
1.06606607    12.11008516    1.69890614
1.08108108    12.25003322    1.81612756
1.09609610    12.34979131    1.97366108
1.11111111    12.40575455    2.15904983
1.12612613    12.39712998    2.36892997
1.14114114    12.29973201    2.56091658
1.15615616    12.13991129    2.68431349
1.17117117    11.96114136    2.72574190
1.18618619    11.79886198    2.69289645
1.20120120    11.66900336    2.60303727
1.21621622    11.58994025    2.45281997
1.23123123    11.61332341    2.27052570
1.24624625    11.74338096    2.14067503
1.26126126    11.90915105    2.11741262
1.27627628    12.02872323    2.18146663
1.29129129    12.06537443    2.26529604
1.30630631    12.03849381    2.30165642
1.32132132    12.00969367    2.25313676
1.33633634    12.05295665    2.14499112
1.35135135    12.19136015    2.04781018
1.36636637    12.39442505    2.01378145
1.38138138    12.62490473    2.05801004
1.39639640    12.85818050    2.19144050
1.41141141    13.04958332    2.42975142
1.42642643    13.13001444    2.75128302
1.44144144    13.05217717    3.07994994
1.45645646    12.83077514    3.31429795
1.47147147    12.55347457    3.38446326
1.48648649    12.32699701    3.30487610
1.50150150    12.20615902    3.14515107
1.51651652    12.19282009    2.96959855
1.53153153    12.26959632    2.82626143
1.54654655    12.39054579    2.75351014
1.56156156    12.48938226    2.73379018
1.57657658    12.55767818    2.69965923
1.59159159    12.65324883    2.62348442
1.60660661    12.82415782    2.54540656
1.62162162    13.06062536    2.52766926
1.63663664    13.30998927    2.59176563
1.65165165    13.54607105    2.71341940
1.66666667    13.77995685    2.89636966
1.68168168    13.97917826    3.17903610
1.69669670    14.06007030    3.55000613
