# omega (eV)     <Re(Eps)>     <Im(Eps)>
0.00000000    10.15734806    0.00000000
0.01501501    10.15750631    0.00105559
0.03003003    10.15798113    0.00211162
0.04504504    10.15877271    0.00316851
0.06006006    10.15988138    0.00422670
0.07507508    10.16130758    0.00528662
0.09009009    10.16305191    0.00634872
0.10510511    10.16511507    0.00741344
0.12012012    10.16749791    0.00848123
0.13513513    10.17020142    0.00955253
0.15015015    10.17322671    0.01062783
0.16516517    10.17657504    0.01170758
0.18018018    10.18024781    0.01279226
0.19519519    10.18424657    0.01388236
0.21021021    10.18857300    0.01497838
0.22522523    10.19322894    0.01608083
0.24024024    10.19821639    0.01719023
0.25525526    10.20353749    0.01830713
0.27027027    10.20919457    0.01943207
0.28528528    10.21519010    0.02056563
0.30030030    10.22152674    0.02170839
0.31531531    10.22820732    0.02286097
0.33033033    10.23523485    0.02402401
0.34534535    10.24261255    0.02519816
0.36036036    10.25034382    0.02638410
0.37537538    10.25843228    0.02758255
0.39039039    10.26688176    0.02879425
0.40540540    10.27569632    0.03001998
0.42042042    10.28488024    0.03126056
0.43543543    10.29443806    0.03251684
0.45045045    10.30437459    0.03378971
0.46546547    10.31469489    0.03508014
0.48048048    10.32540432    0.03638911
0.49549550    10.33650854    0.03771769
0.51051051    10.34801354    0.03906698
0.52552553    10.35992562    0.04043818
0.54054054    10.37225147    0.04183255
0.55555556    10.38499815    0.04325143
0.57057057    10.39817312    0.04469625
0.58558559    10.41178430    0.04616854
0.60060060    10.42584003    0.04766996
0.61561562    10.44034919    0.04920225
0.63063063    10.45532117    0.05076732
0.64564565    10.47076593    0.05236722
0.66066066    10.48669408    0.05400416
0.67567568    10.50311686    0.05568055
0.69069069    10.52004626    0.05739899
0.70570571    10.53749505    0.05916232
0.72072072    10.55547686    0.06097367
0.73573574    10.57400624    0.06283643
0.75075075    10.59309879    0.06475436
0.76576577    10.61277121    0.06673158
0.78078078    10.63304145    0.06877269
0.79579580    10.65392883    0.07088277
0.81081081    10.67545419    0.07306747
0.82582583    10.69764004    0.07533316
0.84084084    10.72051078    0.07768697
0.85585586    10.74409293    0.08013696
0.87087087    10.76841537    0.08269227
0.88588589    10.79350965    0.08536335
0.90090090    10.81941037    0.08816215
0.91591592    10.84615561    0.09110248
0.93093093    10.87378739    0.09420035
0.94594595    10.90235230    0.09747451
0.96096096    10.93190222    0.10094697
0.97597598    10.96249515    0.10464392
0.99099099    10.99419629    0.10859666
1.00600601    11.02707927    0.11284303
1.02102102    11.06122768    0.11742923
1.03603604    11.09673698    0.12241228
1.05105105    11.13371672    0.12786348
1.06606607    11.17229334    0.13387314
1.08108108    11.21261344    0.14055748
1.09609610    11.25484749    0.14806846
1.11111111    11.29919390    0.15660848
1.12612613    11.34588236    0.16645248
1.14114114    11.39517455    0.17798204
1.15615616    11.44735675    0.19173850
1.17117117    11.50271156    0.20850659
1.18618619    11.56143753    0.22944338
1.20120120    11.62344299    0.25626193
1.21621622    11.68784932    0.29142220
1.23123123    11.75190606    0.33802471
1.24624625    11.80920084    0.39828640
1.26126126    11.84930908    0.46838003
1.27627628    11.86666234    0.53219304
1.29129129    11.87636896    0.57302762
1.30630631    11.90098267    0.59855068
1.32132132    11.94325007    0.62803723
1.33633634    11.99592309    0.67246711
1.35135135    12.04778337    0.74176156
1.36636637    12.07353721    0.83662110
1.38138138    12.05014720    0.92661894
1.39639640    11.99868202    0.96590877
1.41141141    11.97532357    0.95608944
1.42642643    11.99760133    0.94582851
1.44144144    12.03517553    0.96233374
1.45645646    12.06265819    0.99236308
1.47147147    12.08357980    1.01923220
1.48648649    12.10506424    1.04205859
1.50150150    12.13056147    1.06067428
1.51651652    12.16491087    1.07834531
1.53153153    12.21009621    1.10101521
1.54654655    12.26583386    1.13842059
1.56156156    12.31967934    1.20396116
1.57657658    12.34278809    1.29378014
1.59159159    12.32046741    1.37292256
1.60660661    12.27836172    1.40722759
1.62162162    12.26178804    1.40269687
1.63663664    12.28374851    1.40518416
1.65165165    12.30431528    1.44057745
1.66666667    12.28910984    1.47764868
1.68168168    12.25542544    1.47822344
1.69669670    12.23414661    1.43734344
1.71171171    12.25278776    1.36339652
1.72672673    12.33233983    1.28972704
1.74174174    12.45676540    1.25462741
1.75675676    12.59596345    1.26560217
1.77177177    12.73828085    1.31780387
1.78678679    12.87294465    1.42105708
1.80180180    12.96520305    1.57804434
1.81681682    12.97982952    1.75399775
1.83183183    12.92274401    1.89323440
1.84684685    12.83779315    1.97032266
1.86186186    12.75506212    1.99619596
1.87687688    12.68786524    1.97908821
1.89189189    12.64725833    1.93081981
1.90690691    12.63657060    1.85446904
1.92192192    12.68146895    1.75601745
1.93693694    12.79639806    1.68150753
1.95195195    12.94431151    1.67329768
1.96696697    13.07142417    1.72687204
1.98198198    13.14881765    1.80314900
1.99699700    13.18373446    1.85644850
2.01201201    13.21816190    1.86060520
2.02702703    13.30102576    1.83715628
2.04204204    13.44179348    1.83857635
2.05705706    13.60825457    1.90324712
2.07207207    13.75412690    2.03677217
2.08708709    13.84024720    2.21612625
2.10210210    13.84936091    2.39852567
2.11711712    13.79304034    2.54100946
2.13213213    13.70398409    2.61596747
2.14714715    13.62116800    2.62024818
2.16216216    13.57492714    2.56777893
2.17717718    13.58637260    2.48217356
2.19219219    13.66410770    2.39723583
2.20720721    13.79024905    2.34954602
2.22222222    13.92179757    2.34547239
2.23723724    14.03816691    2.34900771
2.25225225    14.16876273    2.33173638
2.26726727    14.35555154    2.31401864
2.28228228    14.60215760    2.35153342
2.29729730    14.86138201    2.48265922
2.31231231    15.07819410    2.69842638
2.32732733    15.22126928    2.97090682
2.34234234    15.26149165    3.26750956
2.35735736    15.18294911    3.52328983
2.37237237    15.02460759    3.66187341
2.38738739    14.87948253    3.64897506
2.40240240    14.84330039    3.52985985
2.41741742    14.94581071    3.40352144
2.43243243    15.13374245    3.34374151
2.44744745    15.34044113    3.34246177
2.46246246    15.56344564    3.35931693
2.47747748    15.83681369    3.40068758
2.49249249    16.16382315    3.51255012
2.50750751    16.50537910    3.73326742
2.52252252    16.79941846    4.07080286
2.53753754    16.97799866    4.48958069
2.55255255    17.00554179    4.90011511
2.56756757    16.92984068    5.20118492
2.58258258    16.86080585    5.36017963
2.59759760    16.89695316    5.42896009
2.61261261    17.07129987    5.51640179
2.62762763    17.31841032    5.70802517
2.64264264    17.56365966    5.99104676
2.65765766    17.80636999    6.34108058
2.67267267    18.03758158    6.78525397
2.68768769    18.20875304    7.32616882
2.70270270    18.29374802    7.93932365
2.71771772    18.27175105    8.61324010
2.73273273    18.10525435    9.32181496
2.74774775    17.77174577    10.00472262
2.76276276    17.28953506    10.60027711
2.77777778    16.68509715    11.06305073
2.79279279    16.00782733    11.32935593
2.80780781    15.37979354    11.37086683
2.82282282    14.92375076    11.27894224
2.83783784    14.64029975    11.21027625
2.85285285    14.41371281    11.24734658
2.86786787    14.13131498    11.35169734
2.88288288    13.75593305    11.42609047
2.89789790    13.34096753    11.37802074
2.91291291    12.99835106    11.19659120
2.92792793    12.80541768    10.96278860
2.94294294    12.75020601    10.78454082
2.95795796    12.75636268    10.70760864
2.97297297    12.78211569    10.72678785
2.98798799    12.78481466    10.86911603
3.00300300    12.65761316    11.11537483
3.01801802    12.33681928    11.33681119
3.03303303    11.89252647    11.39150067
3.04804805    11.47514686    11.25709068
3.06306306    11.15737218    11.01466270
3.07807808    10.94415157    10.70616398
3.09309309    10.87285429    10.36490537
3.10810811    10.95534535    10.08055669
3.12312312    11.12449018    9.92745289
3.13813814    11.29602963    9.91106170
3.15315315    11.41197584    10.00304302
3.16816817    11.43163073    10.15797832
3.18318318    11.34385638    10.31498735
3.19819820    11.17102953    10.42234674
3.21321321    10.95214686    10.45211242
3.22822823    10.72597863    10.39564764
3.24324324    10.53241615    10.25785281
3.25825826    10.40621520    10.06267753
3.27327327    10.36730262    9.85090237
3.28828829    10.40564129    9.67071990
3.30330330    10.47963828    9.54829313
3.31831832    10.55185421    9.46513190
3.33333333    10.62762404    9.39665073
3.34834835    10.71700363    9.34869742
3.36336336    10.81575424    9.32597785
3.37837838    10.92782934    9.33512910
3.39339339    11.04268683    9.40279287
3.40840841    11.11295981    9.54234394
3.42342342    11.08044950    9.71738771
3.43843844    10.93323714    9.84251425
3.45345345    10.73381533    9.85576261
3.46846847    10.54830555    9.75938538
3.48348348    10.41980323    9.56843603
3.49849850    10.39520148    9.31442818
3.51351351    10.50024409    9.06015103
3.52852853    10.71620847    8.88028579
3.54354354    10.97043466    8.82021299
3.55855856    11.18453049    8.85231778
3.57357357    11.34009425    8.91111685
3.58858859    11.46900068    8.96043467
3.60360360    11.60400253    9.00648378
3.61861862    11.75287308    9.08027412
3.63363363    11.88040613    9.20455295
3.64864865    11.94537805    9.35214491
3.66366366    11.94378305    9.47774067
3.67867868    11.89204390    9.54255507
3.69369369    11.83188543    9.50952397
3.70870871    11.84175088    9.37895973
3.72372372    11.97826930    9.22607414
3.73873874    12.20949865    9.13538435
3.75375375    12.46880390    9.12192768
3.76876877    12.72044348    9.15882521
3.78378378    12.96399391    9.21389903
3.79879880    13.22407224    9.28081856
3.81381381    13.50867454    9.38428196
3.82882883    13.79044849    9.54469605
3.84384384    14.02797073    9.74190332
3.85885886    14.21715797    9.91588161
3.87387387    14.42017770    10.02709751
3.88888889    14.70224219    10.11032592
3.90390390    15.07945530    10.22028660
3.91891892    15.54849883    10.41043895
3.93393393    16.06843765    10.73344871
3.94894895    16.57660674    11.19590150
3.96396396    17.04474851    11.77637435
3.97897898    17.45708516    12.48473239
3.99399399    17.74861097    13.32246918
4.00900901    17.86915484    14.22162111
4.02402402    17.83413562    15.12409428
4.03903904    17.64116370    16.00888582
4.05405405    17.27574775    16.80254957
4.06906907    16.81712911    17.41361303
4.08408408    16.39722203    17.85822087
4.09909910    16.06522841    18.23823381
4.11411411    15.77737053    18.61515192
4.12912913    15.50299690    18.97046288
4.14414414    15.27970538    19.29822757
4.15915916    15.12375227    19.66237646
4.17417417    14.97278937    20.10950506
4.18918919    14.76127398    20.60761661
4.20420420    14.48414721    21.09630560
4.21921922    14.18166284    21.54644984
4.23423423    13.88566575    21.97591725
