# omega(eV)     n     kappa     alpha(1/m)
0.00000000     3.69605871     0.00000000     0.00000000
0.01501501     3.69613203     0.00049129     74.76659893
0.03003003     3.69635209     0.00098337     299.30724652
0.04504504     3.69671924     0.00147704     674.34692293
0.06006006     3.69723406     0.00197311     1201.10647311
0.07507508     3.69789736     0.00247243     1881.32237633
0.09009009     3.69871020     0.00297586     2717.27062983
0.10510511     3.69967390     0.00348432     3711.80479952
0.12012012     3.70079004     0.00399878     4868.40435334
0.13513513     3.70206049     0.00452028     6191.22898768
0.15015015     3.70348744     0.00504994     7685.20012008
0.16516517     3.70507338     0.00558897     9356.07940123
0.18018018     3.70682119     0.00613872     11210.58862693
0.19519519     3.70873413     0.00670067     13256.55090134
0.21021021     3.71081587     0.00727645     15503.04842225
0.22522523     3.71307061     0.00786795     17960.64584977
0.24024024     3.71550304     0.00847725     20641.63145481
0.25525526     3.71811848     0.00910676     23560.37568544
0.27027027     3.72092295     0.00975927     26733.70638785
0.28528528     3.72392323     0.01043800     30181.46675627
0.30030030     3.72712703     0.01114675     33927.16087818
0.31531531     3.73054311     0.01188999     37998.82929552
0.33033033     3.73418146     0.01267311     42430.20339590
0.34534535     3.73805348     0.01350257     47262.16680473
0.36036036     3.74217233     0.01438630     52544.78987407
0.37537538     3.74655316     0.01533408     58340.06581649
0.39039039     3.75121357     0.01635812     64725.60638389
0.40540540     3.75617406     0.01747394     71799.92545134
0.42042042     3.76145865     0.01870147     79689.84319126
0.43543543     3.76709560     0.02006671     88561.18821739
0.45045045     3.77311817     0.02160423     98634.62724012
0.46546547     3.77956554     0.02336078     110209.33649201
0.48048048     3.78648345     0.02540083     123699.27345270
0.49549550     3.79392426     0.02781517     139689.90663300
0.51051051     3.80194508     0.03073451     159028.32747533
0.52552553     3.81060091     0.03435097     182968.49872958
0.54054054     3.81992576     0.03895226     213404.96130092
0.55555556     3.82988433     0.04497339     253236.72865696
0.57057057     3.84025426     0.05306339     306865.38870165
0.58558559     3.85035353     0.06412097     380569.52748780
0.60060060     3.85849024     0.07908167     481398.94933203
0.61561562     3.86127749     0.09779146     610174.53995904
0.63063063     3.85453188     0.11621765     742832.10985612
0.64564565     3.83915758     0.12542315     820758.64409774
0.66066066     3.82557183     0.12067671     808063.36388706
0.67567568     3.82276517     0.10893230     745999.42758164
0.69069069     3.82988459     0.09904791     693381.81051433
0.70570571     3.84212593     0.09455084     676289.36130479
0.72072072     3.85557280     0.09527572     695973.58238429
0.73573574     3.86817530     0.09934219     740796.81799252
0.75075075     3.88045037     0.10488778     798112.65837064
0.76576577     3.89407023     0.11275682     875149.59947716
0.78078078     3.90820813     0.12595998     996793.57275645
0.79579580     3.91854089     0.14637308     1180609.78072492
0.81081081     3.91848491     0.17161048     1410284.92761745
0.82582583     3.90414827     0.19208156     1607746.85168107
0.84084084     3.88319629     0.19636639     1673495.20441119
0.85585586     3.87083910     0.18578737     1611611.44816893
0.87087087     3.87264734     0.17318175     1528619.57673392
0.88588589     3.88227529     0.16778441     1506513.13618209
0.90090090     3.89085510     0.16976793     1550158.84085804
0.91591592     3.89427749     0.17274207     1603604.45239092
0.93093093     3.89649928     0.17142418     1617458.15430845
0.94594595     3.90211544     0.16813083     1611970.88070940
0.96096096     3.90966680     0.16578940     1614752.78049539
0.97597598     3.91806571     0.16286284     1611033.82537301
0.99099099     3.92959943     0.15939856     1601023.23579842
1.00600601     3.94415463     0.15801660     1611190.16844133
1.02102102     3.95992922     0.15868498     1642154.55973695
1.03603604     3.97801149     0.16070183     1687482.27918640
1.05105105     3.99954517     0.16685789     1777518.27799108
1.06606607     4.02180915     0.18067744     1952232.66261434
1.08108108     4.03942356     0.20291414     2223382.11544710
1.09609610     4.04638235     0.23019860     2557377.47030888
1.11111111     4.03968946     0.25341987     2853919.22921484
1.12612613     4.02691567     0.26236292     2994560.02956407
1.14114114     4.02191066     0.25963582     3002945.77226829
1.15615616     4.02719148     0.25776562     3020542.98149727
1.17117117     4.03442920     0.26249901     3115957.75694600
1.18618619     4.03633947     0.27033669     3250134.87811547
1.20120120     4.03138647     0.27343584     3329007.06034900
1.21621622     4.02635054     0.26538477     3271374.80872533
1.23123123     4.03024155     0.24937525     3111977.85233274
1.24624625     4.04439685     0.23250794     2936873.07847998
1.26126126     4.06715680     0.21789953     2785510.99783664
1.27627628     4.09798195     0.20832935     2694875.39627335
1.29129129     4.13450029     0.20718462     2711597.76060461
1.30630631     4.17270841     0.21613157     2861585.73937387
1.32132132     4.20831069     0.23483098     3144903.72433915
1.33633634     4.23772994     0.26080820     3532486.73276100
1.35135135     4.25966006     0.29071473     3981794.56918042
1.36636637     4.27351986     0.32257519     4467264.36608010
1.38138138     4.27714243     0.35302879     4942734.06836038
1.39639640     4.27185445     0.37467782     5302860.90548700
1.41141141     4.26643475     0.38368730     5488764.17930664
1.42642643     4.26793549     0.38576335     5577169.79770549
1.44144144     4.27417201     0.38655078     5647380.99882917
1.45645646     4.28294363     0.38429590     5672921.55197992
1.47147147     4.29752716     0.37801085     5637669.78614370
1.48648649     4.32044427     0.37043048     5580989.44807765
1.50150150     4.35276213     0.36474407     5550824.98707433
1.51651652     4.39413344     0.36533402     5615401.15702781
1.53153153     4.44141036     0.37585057     5834245.16594294
1.54654655     4.49077889     0.39777589     6235122.29386396
1.56156156     4.53836710     0.43244300     6844338.89120372
1.57657658     4.57683082     0.47996054     7669448.45814630
1.59159159     4.59749955     0.53217442     8584779.76072028
1.60660661     4.60223642     0.57374507     9342692.29015267
1.62162162     4.60517383     0.59690427     9810648.95315472
1.63663664     4.62045814     0.60601144     10052558.77819605
1.65165165     4.65631320     0.61334710     10267584.73349855
1.66666667     4.70991367     0.63408706     10711274.97872659
1.68168168     4.76891962     0.67545313     11512841.88437006
1.69669670     4.82322909     0.73323829     12609355.07256394
1.71171171     4.87269682     0.80198978     13913711.06149512
1.72672673     4.91844627     0.88455147     15480687.57058610
1.74174174     4.95374753     0.98462259     17381893.32329417
1.75675676     4.96908686     1.09889937     19566497.05728117
1.77177177     4.95823926     1.21873958     21885789.59181610
1.78678679     4.91920504     1.33214726     24125065.10543969
1.80180180     4.85974796     1.42521171     26027348.37625786
1.81681682     4.79705744     1.49631520     27553562.29854342
1.83183183     4.73850720     1.55732926     28914092.66682594
1.84684685     4.67856031     1.61617091     30252529.51040196
1.86186186     4.60874764     1.67081534     31529670.73000201
1.87687688     4.52687920     1.71034602     32535934.97568751
1.89189189     4.44257174     1.72490522     33075397.80429861
1.90690691     4.37161135     1.71399923     33127116.93075471
1.92192192     4.32907567     1.68916453     32904191.00498486
1.93693694     4.31859104     1.67322273     32848289.66531581
1.95195195     4.32397864     1.68572267     33350225.64499065
1.96696697     4.32151603     1.72768453     34443322.46784855
1.98198198     4.29515963     1.78712388     35900284.16460928
1.99699700     4.23703935     1.84652761     37374616.28183166
2.01201201     4.15160464     1.88460044     38432035.18632907
2.02702703     4.05694705     1.88844920     38797913.65210020
2.04204204     3.97382012     1.85921763     38480298.55077182
2.05705706     3.91805211     1.81020462     37741358.88440202
2.07207207     3.89163397     1.76167883     36997733.26653959
2.08708709     3.88295334     1.72543121     36499065.55441809
2.10210210     3.88181096     1.70103920     36241958.05766696
2.11711712     3.88489777     1.68506772     36158113.97811767
2.13213213     3.89343710     1.67760154     36253209.15129770
2.14714715     3.90495135     1.68402851     36648379.25353135
2.16216216     3.91078151     1.70544901     37374081.39262135
2.17717718     3.90443757     1.73767597     38344766.16663873
2.19219219     3.88020737     1.77479320     39433916.05241719
2.20720721     3.83608097     1.80495439     40378749.36576839
2.22222222     3.78049767     1.81862990     40961451.49499962
2.23723724     3.72145163     1.81555634     41168523.79845740
2.25225225     3.66307686     1.79353112     40942039.35138303
2.26726727     3.61695468     1.75052471     40226707.65566720
2.28228228     3.59577018     1.69786304     39274940.68101679
2.29729730     3.59736567     1.65296056     38487811.59148636
2.31231231     3.61004706     1.62286620     38034063.82444453
2.32732733     3.62501413     1.60686422     37903575.23259465
2.34234234     3.63527191     1.60131893     38016465.03322052
2.35735736     3.63826198     1.59846780     38192038.68507312
2.37237237     3.63781295     1.59255205     38293055.27037998
2.38738739     3.64032652     1.58208236     38282078.51521415
2.40240240     3.65274716     1.57279488     38296701.06466598
2.41741742     3.67231865     1.57611562     38617419.15456116
2.43243243     3.68730699     1.59552874     39335886.47661180
2.44744745     3.68798268     1.62595038     40333340.24514765
