# omega(eV)     n     kappa     alpha(1/m)
0.00000000     3.48741743     0.00000000     0.00000000
0.01501501     3.48765012     0.00163541     248.88363571
0.03003003     3.48835087     0.00329287     1002.24356196
0.04504504     3.48952784     0.00499543     2280.67461543
0.06006006     3.49119497     0.00676832     4120.12206839
0.07507508     3.49337247     0.00864023     6574.52519121
0.09009009     3.49608752     0.01064497     9719.97095313
0.10510511     3.49937534     0.01282370     13660.94091969
0.12012012     3.50328044     0.01522788     18539.52894945
0.13513513     3.50785823     0.01792354     24549.09933475
0.15015015     3.51317700     0.02099739     31954.69116631
0.16516517     3.51932000     0.02456590     41123.94393310
0.18018018     3.52638727     0.02878905     52574.83797241
0.19519519     3.53449615     0.03389152     67050.74736590
0.21021021     3.54377767     0.04019600     85640.69683024
0.22522523     3.55436231     0.04817632     109975.05431785
0.24024024     3.56633923     0.05854187     142546.28253983
0.25525526     3.57965156     0.07236866     187227.12225720
0.27027027     3.59383859     0.09128206     250050.20791055
0.28528528     3.60742759     0.11762141     340102.07430092
0.30030030     3.61662793     0.15418939     469303.49622994
0.31531531     3.61325036     0.20217543     646125.62007665
0.33033033     3.58467950     0.25457750     852338.27974050
0.34534535     3.52558076     0.28870629     1010539.69415422
0.36036036     3.45792750     0.28152197     1028236.07798907
0.37537538     3.41476892     0.24191411     920387.08021035
0.39039039     3.40363985     0.19730942     780711.31383934
0.40540540     3.41318668     0.16302279     669855.90120556
0.42042042     3.43252457     0.14147582     602850.39267014
0.43543543     3.45581449     0.13092244     577805.10459250
0.45045045     3.48036651     0.12961899     591778.49960763
0.46546547     3.50464729     0.13669009     644863.85271013
0.48048048     3.52727028     0.15182849     739388.23998700
0.49549550     3.54690647     0.17520457     879890.57922432
0.51051051     3.56120397     0.20848005     1078729.90030006
0.52552553     3.56285873     0.25308390     1348037.14982398
0.54054054     3.53959861     0.30152994     1651970.32472942
0.55555556     3.48850745     0.33101440     1863879.81713419
0.57057057     3.43326920     0.32248072     1864904.71811288
0.58558559     3.40346123     0.28844356     1711964.49068884
0.60060060     3.40280762     0.25589869     1557748.55351704
0.61561562     3.41766888     0.23945111     1494066.80060714
0.63063063     3.43335964     0.24087025     1539578.17119221
0.64564565     3.43845658     0.25373741     1660436.41469716
0.66066066     3.42939362     0.26529957     1776472.63592283
0.67567568     3.41391818     0.26614173     1822614.37358333
0.69069069     3.40069131     0.25650634     1795664.67359977
0.70570571     3.39534558     0.23905045     1709844.93369799
0.72072072     3.40241853     0.22045907     1610417.60479114
0.73573574     3.41908452     0.20927791     1560589.79027947
0.75075075     3.43772545     0.20779786     1581176.54588134
0.76576577     3.45386772     0.21193168     1644884.28402148
0.78078078     3.46971497     0.21844913     1728713.22853210
0.79579580     3.48733644     0.23091071     1862469.83924265
0.81081081     3.50149634     0.25351004     2083330.74570402
0.82582583     3.50389223     0.28293827     2368228.91540152
0.84084084     3.49227561     0.30955710     2638141.50567966
0.85585586     3.47188485     0.32619522     2829578.50153285
0.87087087     3.45032444     0.33010145     2913699.24009111
0.88588589     3.43691186     0.32530794     2920895.18103599
0.90090090     3.43188088     0.32346967     2953616.51720983
0.91591592     3.42413892     0.32766761     3041813.93844213
0.93093093     3.40890849     0.32807577     3095530.85522193
0.94594595     3.39388370     0.31882191     3056736.57516090
0.96096096     3.38446266     0.30366761     2957656.56004040
0.97597598     3.38103293     0.28470880     2816330.03622173
0.99099099     3.38650603     0.26337970     2645425.44805398
1.00600601     3.40230212     0.24573191     2505564.87642697
1.02102102     3.42343902     0.23670254     2449520.73719879
1.03603604     3.44444317     0.23458628     2463320.91468496
1.05105105     3.46564279     0.23621987     2516423.72357648
1.06606607     3.48846372     0.24350348     2631072.56747494
1.08108108     3.50955550     0.25874040     2835084.65093607
1.09609610     3.52535792     0.27992350     3109793.29444210
1.11111111     3.53539135     0.30534807     3438715.06098267
1.12612613     3.53684652     0.33489296     3822403.88870081
1.14114114     3.52585016     0.36316299     4200340.25111862
1.15615616     3.50521411     0.38290293     4486923.96582462
1.17117117     3.48058381     0.39156389     4648004.47570221
1.18618619     3.45695876     0.38948924     4682651.62582050
1.20120120     3.43691835     0.37868768     4610419.66639949
1.21621622     3.42319931     0.35826426     4416292.27716091
1.23123123     3.42392473     0.33156770     4137665.38282217
1.24624625     3.44095023     0.31105870     3929069.82293573
1.26126126     3.46446767     0.30558989     3906497.67852478
1.27627628     3.48235954     0.31321674     4051661.86110927
1.29129129     3.48866478     0.32466519     4249163.83904174
1.30630631     3.48532934     0.33019210     4371749.07217139
1.32132132     3.48058292     0.32367233     4334684.98153914
1.33633634     3.48534726     0.30771555     4167818.05820562
1.35135135     3.50382017     0.29222535     4002484.86590941
1.36636637     3.53209420     0.28506905     3947850.99851310
1.38138138     3.56485973     0.28865232     4041403.10508866
1.39639640     3.59873378     0.30447383     4309255.19152366
1.41141141     3.62790861     0.33486944     4790409.72651489
1.42642643     3.64315703     0.37759600     5459090.36623828
1.44144144     3.63750072     0.42336073     6185162.34308425
1.45645646     3.61128054     0.45888126     6773940.16664233
1.47147147     3.57457542     0.47340773     7060422.90056505
1.48648649     3.54184463     0.46654730     7029107.29099353
1.50150150     3.52214501     0.44648234     6794751.49725036
1.51651652     3.51724738     0.42214809     6488667.25300728
1.53153153     3.52565566     0.40081359     6221740.73041173
1.54654655     3.54142319     0.38875757     6093760.46877742
1.56156156     3.55488836     0.38451140     6085718.38767852
1.57657658     3.56386491     0.37875443     6052242.41725846
1.59159159     3.57600394     0.36681789     5917328.31222097
1.60660661     3.59850582     0.35367548     5759145.20237270
1.62162162     3.63067464     0.34809912     5721316.46347963
