# omega(eV)     n     kappa     alpha(1/m)
0.00000000     3.18705947     0.00000000     0.00000000
0.01501501     3.18708430     0.00016560     25.20234041
0.03003003     3.18715880     0.00033127     100.82804820
0.04504504     3.18728301     0.00049706     226.93159276
0.06006006     3.18745695     0.00066302     403.60486009
0.07507508     3.18768070     0.00082923     630.97567155
0.09009009     3.18795434     0.00099574     909.21089464
0.10510511     3.18827797     0.00116261     1238.51411191
0.12012012     3.18865170     0.00132991     1619.12748206
0.13513513     3.18907568     0.00149770     2051.32927916
0.15015015     3.18955004     0.00166604     2535.44666015
0.16516517     3.19007498     0.00183500     3071.83752275
0.18018018     3.19065069     0.00200465     3660.90587831
0.19519519     3.19127738     0.00217505     4303.09951800
0.21021021     3.19195528     0.00234627     4998.91074087
0.22522523     3.19268465     0.00251839     5748.87684688
0.24024024     3.19346577     0.00269147     6553.58149981
0.25525526     3.19429894     0.00286559     7413.66467217
0.27027027     3.19518447     0.00304084     8329.80691256
0.28528528     3.19612272     0.00321728     9302.75246379
0.30030030     3.19711405     0.00339500     10333.29389710
0.31531531     3.19815886     0.00357408     11422.29071312
0.33033033     3.19925756     0.00375462     12570.66566373
0.34534535     3.20041061     0.00393671     13779.39883664
0.36036036     3.20161847     0.00412043     15049.54084966
0.37537538     3.20288164     0.00430590     16382.22318700
0.39039039     3.20420067     0.00449320     17778.64720194
0.40540540     3.20557612     0.00468246     19240.10171758
0.42042042     3.20700857     0.00487379     20767.96600175
0.43543543     3.20849867     0.00506730     22363.70542355
0.45045045     3.21004709     0.00526312     24028.88487120
0.46546547     3.21165451     0.00546138     25765.19867484
0.48048048     3.21332171     0.00566223     27574.42751945
0.49549550     3.21504945     0.00586580     29458.50306986
0.51051051     3.21683857     0.00607226     31419.46527171
0.52552553     3.21868996     0.00628178     33459.52751338
0.54054054     3.22060455     0.00649452     35581.04819523
0.55555556     3.22258331     0.00671068     37786.55905054
0.57057057     3.22462729     0.00693045     40078.77688488
0.58558559     3.22673759     0.00715406     42460.62703486
0.60060060     3.22891538     0.00738173     44935.27621243
0.61561562     3.23116189     0.00761371     47506.10298296
0.63063063     3.23347844     0.00785026     50176.78824616
0.64564565     3.23586641     0.00809168     52951.30829644
0.66066066     3.23832729     0.00833828     55833.96279374
0.67567568     3.24086264     0.00859039     58829.43930162
0.69069069     3.24347415     0.00884838     61942.81550024
0.70570571     3.24616360     0.00911265     65179.63952751
0.72072072     3.24893289     0.00938365     68546.00259660
0.73573574     3.25178406     0.00966184     72048.54054034
0.75075075     3.25471930     0.00994776     75694.57939430
0.76576577     3.25774095     0.01024200     79492.16761545
0.78078078     3.26085152     0.01054520     83450.24792171
0.79579580     3.26405373     0.01085809     87578.71217512
0.81081081     3.26735049     0.01118146     91888.55164393
0.82582583     3.27074497     0.01151621     96392.11182281
0.84084084     3.27424060     0.01186336     101103.20444193
0.85585586     3.27784111     0.01222405     106037.41301082
0.87087087     3.28155057     0.01259957     111212.37281461
0.88588589     3.28537341     0.01299142     116648.19605939
0.90090090     3.28931451     0.01340130     122367.84788768
